MaterialLibrary,BaseStrategy,MixedWith,MixedStrategy,CanonicalMixedStrategy,BaseStoppingIteration,MixedStoppingIteration,ComparisonResult,ImprovementPercentage
10374,Random,Centroids_saturation_high,Centroids_saturation_high+Random,Centroids_saturation_high+Random,100,37,Improved,63.0
10374,K-Means,Centroids_saturation_high,Centroids_saturation_high+K-Means,Centroids_saturation_high+K-Means,100,48,Improved,52.0
10374,Farthest,Centroids_saturation_high,Centroids_saturation_high+Farthest,Centroids_saturation_high+Farthest,64,65,Worse,-1.0
10374,K-Center,Centroids_saturation_high,Centroids_saturation_high+K-Center,Centroids_saturation_high+K-Center,72,100,Worse,-28.0
10374,ODAL,Centroids_saturation_high,Centroids_saturation_high+ODAL,Centroids_saturation_high+ODAL,59,100,Worse,-41.0
10374,Centroids_saturation_medium,Centroids_saturation_high,Centroids_saturation_high+Centroids_saturation_medium,Centroids_saturation_high+Centroids_saturation_medium,100,63,Improved,37.0
10374,Centroids_saturation_low,Centroids_saturation_high,Centroids_saturation_high+Centroids_saturation_low,Centroids_saturation_high+Centroids_saturation_low,71,61,Improved,10.0
10399,Random,Centroids_saturation_high,Centroids_saturation_high+Random,Centroids_saturation_high+Random,74,100,Worse,-26.0
10399,K-Means,Centroids_saturation_high,Centroids_saturation_high+K-Means,Centroids_saturation_high+K-Means,53,77,Worse,-24.0
10399,Farthest,Centroids_saturation_high,Centroids_saturation_high+Farthest,Centroids_saturation_high+Farthest,76,62,Improved,14.0
10399,K-Center,Centroids_saturation_high,Centroids_saturation_high+K-Center,Centroids_saturation_high+K-Center,70,84,Worse,-14.0
10399,ODAL,Centroids_saturation_high,Centroids_saturation_high+ODAL,Centroids_saturation_high+ODAL,67,72,Worse,-5.0
10402,K-Means,Centroids_saturation_high,Centroids_saturation_high+K-Means,Centroids_saturation_high+K-Means,100,59,Improved,41.0
10402,Centroids_saturation_low,Centroids_saturation_high,Centroids_saturation_high+Centroids_saturation_low,Centroids_saturation_high+Centroids_saturation_low,61,100,Worse,-39.0
10403,Random,Centroids_saturation_high,Centroids_saturation_high+Random,Centroids_saturation_high+Random,60,100,Worse,-40.0
10403,Farthest,Centroids_saturation_high,Centroids_saturation_high+Farthest,Centroids_saturation_high+Farthest,91,100,Worse,-9.0
10403,K-Center,Centroids_saturation_high,Centroids_saturation_high+K-Center,Centroids_saturation_high+K-Center,79,100,Worse,-21.0
10403,ODAL,Centroids_saturation_high,Centroids_saturation_high+ODAL,Centroids_saturation_high+ODAL,45,92,Worse,-47.0
10403,Centroids_saturation_medium,Centroids_saturation_high,Centroids_saturation_high+Centroids_saturation_medium,Centroids_saturation_high+Centroids_saturation_medium,57,100,Worse,-43.0
10311,Random,Centroids_saturation_high,Centroids_saturation_high+Random,Centroids_saturation_high+Random,81,100,Worse,-19.0
10311,LHS,Centroids_saturation_high,Centroids_saturation_high+LHS,Centroids_saturation_high+LHS,90,100,Worse,-10.0
10311,K-Means,Centroids_saturation_high,Centroids_saturation_high+K-Means,Centroids_saturation_high+K-Means,100,89,Improved,11.0
10311,Farthest,Centroids_saturation_high,Centroids_saturation_high+Farthest,Centroids_saturation_high+Farthest,57,97,Worse,-40.0
10311,K-Center,Centroids_saturation_high,Centroids_saturation_high+K-Center,Centroids_saturation_high+K-Center,97,65,Improved,32.0
10311,ODAL,Centroids_saturation_high,Centroids_saturation_high+ODAL,Centroids_saturation_high+ODAL,30,64,Worse,-34.0
10304,Random,Centroids_saturation_high,Centroids_saturation_high+Random,Centroids_saturation_high+Random,100,65,Improved,35.0
10304,LHS,Centroids_saturation_high,Centroids_saturation_high+LHS,Centroids_saturation_high+LHS,72,73,Worse,-1.0
10304,K-Means,Centroids_saturation_high,Centroids_saturation_high+K-Means,Centroids_saturation_high+K-Means,74,77,Worse,-3.0
10304,Farthest,Centroids_saturation_high,Centroids_saturation_high+Farthest,Centroids_saturation_high+Farthest,74,78,Worse,-4.0
10304,K-Center,Centroids_saturation_high,Centroids_saturation_high+K-Center,Centroids_saturation_high+K-Center,76,58,Improved,18.0
10304,ODAL,Centroids_saturation_high,Centroids_saturation_high+ODAL,Centroids_saturation_high+ODAL,100,72,Improved,28.0
10304,Centroids_saturation_medium,Centroids_saturation_high,Centroids_saturation_high+Centroids_saturation_medium,Centroids_saturation_high+Centroids_saturation_medium,100,59,Improved,41.0
10304,Centroids_saturation_low,Centroids_saturation_high,Centroids_saturation_high+Centroids_saturation_low,Centroids_saturation_high+Centroids_saturation_low,100,69,Improved,31.0
10275,Random,Centroids_saturation_high,Centroids_saturation_high+Random,Centroids_saturation_high+Random,87,100,Worse,-13.0
10275,Farthest,Centroids_saturation_high,Centroids_saturation_high+Farthest,Centroids_saturation_high+Farthest,66,100,Worse,-34.0
10275,K-Center,Centroids_saturation_high,Centroids_saturation_high+K-Center,Centroids_saturation_high+K-Center,73,51,Improved,22.0
10275,ODAL,Centroids_saturation_high,Centroids_saturation_high+ODAL,Centroids_saturation_high+ODAL,78,100,Worse,-22.0
10272,Random,Centroids_saturation_high,Centroids_saturation_high+Random,Centroids_saturation_high+Random,34,86,Worse,-52.0
10272,LHS,Centroids_saturation_high,Centroids_saturation_high+LHS,Centroids_saturation_high+LHS,100,67,Improved,33.0
10272,K-Means,Centroids_saturation_high,Centroids_saturation_high+K-Means,Centroids_saturation_high+K-Means,100,60,Improved,40.0
10272,Farthest,Centroids_saturation_high,Centroids_saturation_high+Farthest,Centroids_saturation_high+Farthest,39,61,Worse,-22.0
10272,K-Center,Centroids_saturation_high,Centroids_saturation_high+K-Center,Centroids_saturation_high+K-Center,48,54,Worse,-6.0
10272,ODAL,Centroids_saturation_high,Centroids_saturation_high+ODAL,Centroids_saturation_high+ODAL,47,82,Worse,-35.0
