MaterialLibrary,BaseStrategy,MixedWith,MixedStrategy,CanonicalMixedStrategy,BaseStoppingIteration,MixedStoppingIteration,ComparisonResult,ImprovementPercentage
10374,Centroids_saturation_high,Farthest,Centroids_saturation_high+Farthest,Centroids_saturation_high+Farthest,100,65,Improved,35.0
10374,Random,Farthest,Random+Farthest,Farthest+Random,100,55,Improved,45.0
10374,LHS,Farthest,LHS+Farthest,Farthest+LHS,100,95,Improved,5.0
10374,K-Center,Farthest,Farthest+K-Center,Farthest+K-Center,72,100,Worse,-28.0
10374,ODAL,Farthest,Farthest+ODAL,Farthest+ODAL,59,100,Worse,-41.0
10374,Centroids_saturation_medium,Farthest,Farthest+Centroids_saturation_medium,Centroids_saturation_medium+Farthest,100,83,Improved,17.0
10374,Centroids_saturation_low,Farthest,Centroids_saturation_low+Farthest,Centroids_saturation_low+Farthest,71,68,Improved,3.0
10399,Centroids_saturation_high,Farthest,Centroids_saturation_high+Farthest,Centroids_saturation_high+Farthest,100,62,Improved,38.0
10399,Random,Farthest,Random+Farthest,Farthest+Random,74,75,Worse,-1.0
10399,LHS,Farthest,LHS+Farthest,Farthest+LHS,100,70,Improved,30.0
10399,K-Means,Farthest,K-Means+Farthest,Farthest+K-Means,53,100,Worse,-47.0
10399,K-Center,Farthest,Farthest+K-Center,Farthest+K-Center,70,100,Worse,-30.0
10399,ODAL,Farthest,Farthest+ODAL,Farthest+ODAL,67,100,Worse,-33.0
10399,Centroids_saturation_medium,Farthest,Centroids_saturation_medium+Farthest,Centroids_saturation_medium+Farthest,100,58,Improved,42.0
10399,Centroids_saturation_low,Farthest,Centroids_saturation_low+Farthest,Centroids_saturation_low+Farthest,100,76,Improved,24.0
10402,Centroids_saturation_high,Farthest,Centroids_saturation_high+Farthest,Centroids_saturation_high+Farthest,87,100,Worse,-13.0
10402,Centroids_saturation_low,Farthest,Centroids_saturation_low+Farthest,Centroids_saturation_low+Farthest,61,100,Worse,-39.0
10403,Random,Farthest,Random+Farthest,Farthest+Random,60,42,Improved,18.0
10403,K-Means,Farthest,K-Means+Farthest,Farthest+K-Means,100,49,Improved,51.0
10403,K-Center,Farthest,Farthest+K-Center,Farthest+K-Center,79,100,Worse,-21.0
10403,ODAL,Farthest,Farthest+ODAL,Farthest+ODAL,45,100,Worse,-55.0
10403,Centroids_saturation_medium,Farthest,Centroids_saturation_medium+Farthest,Centroids_saturation_medium+Farthest,57,100,Worse,-43.0
10311,Centroids_saturation_high,Farthest,Centroids_saturation_high+Farthest,Centroids_saturation_high+Farthest,100,97,Improved,3.0
10311,Random,Farthest,Random+Farthest,Farthest+Random,81,77,Improved,4.0
10311,LHS,Farthest,LHS+Farthest,Farthest+LHS,90,77,Improved,13.0
10311,K-Means,Farthest,K-Means+Farthest,Farthest+K-Means,100,81,Improved,19.0
10311,K-Center,Farthest,Farthest+K-Center,Farthest+K-Center,97,54,Improved,43.0
10311,ODAL,Farthest,Farthest+ODAL,Farthest+ODAL,30,50,Worse,-20.0
10311,Centroids_saturation_medium,Farthest,Centroids_saturation_medium+Farthest,Centroids_saturation_medium+Farthest,100,83,Improved,17.0
10311,Centroids_saturation_low,Farthest,Centroids_saturation_low+Farthest,Centroids_saturation_low+Farthest,100,78,Improved,22.0
10304,Centroids_saturation_high,Farthest,Centroids_saturation_high+Farthest,Centroids_saturation_high+Farthest,100,78,Improved,22.0
10304,Random,Farthest,Random+Farthest,Farthest+Random,100,76,Improved,24.0
10304,LHS,Farthest,LHS+Farthest,Farthest+LHS,72,71,Improved,1.0
10304,K-Means,Farthest,K-Means+Farthest,Farthest+K-Means,74,80,Worse,-6.0
10304,K-Center,Farthest,Farthest+K-Center,Farthest+K-Center,76,85,Worse,-9.0
10304,ODAL,Farthest,Farthest+ODAL,Farthest+ODAL,100,74,Improved,26.0
10304,Centroids_saturation_medium,Farthest,Centroids_saturation_medium+Farthest,Centroids_saturation_medium+Farthest,100,72,Improved,28.0
10304,Centroids_saturation_low,Farthest,Centroids_saturation_low+Farthest,Centroids_saturation_low+Farthest,100,68,Improved,32.0
10275,Random,Farthest,Random+Farthest,Farthest+Random,87,62,Improved,25.0
10275,LHS,Farthest,LHS+Farthest,Farthest+LHS,100,66,Improved,34.0
10275,K-Means,Farthest,K-Means+Farthest,Farthest+K-Means,100,46,Improved,54.0
10275,K-Center,Farthest,Farthest+K-Center,Farthest+K-Center,73,93,Worse,-20.0
10275,ODAL,Farthest,Farthest+ODAL,Farthest+ODAL,78,92,Worse,-14.0
10275,Centroids_saturation_medium,Farthest,Centroids_saturation_medium+Farthest,Centroids_saturation_medium+Farthest,100,89,Improved,11.0
10275,Centroids_saturation_low,Farthest,Centroids_saturation_low+Farthest,Centroids_saturation_low+Farthest,100,92,Improved,8.0
10272,Centroids_saturation_high,Farthest,Centroids_saturation_high+Farthest,Centroids_saturation_high+Farthest,100,61,Improved,39.0
10272,Random,Farthest,Random+Farthest,Farthest+Random,34,64,Worse,-30.0
