MaterialLibrary,BaseStrategy,MixedWith,MixedStrategy,CanonicalMixedStrategy,BaseStoppingIteration,MixedStoppingIteration,ComparisonResult,ImprovementPercentage
10374,Random,K-Center,Random+K-Center,K-Center+Random,100,67,Improved,33.0
10374,LHS,K-Center,LHS+K-Center,K-Center+LHS,100,68,Improved,32.0
10374,K-Means,K-Center,K-Means+K-Center,K-Center+K-Means,100,40,Improved,60.0
10374,Farthest,K-Center,Farthest+K-Center,Farthest+K-Center,64,100,Worse,-36.0
10374,ODAL,K-Center,ODAL+K-Center,K-Center+ODAL,59,51,Improved,8.0
10374,Centroids_saturation_low,K-Center,Centroids_saturation_low+K-Center,Centroids_saturation_low+K-Center,71,100,Worse,-29.0
10399,Centroids_saturation_high,K-Center,Centroids_saturation_high+K-Center,Centroids_saturation_high+K-Center,100,84,Improved,16.0
10399,Random,K-Center,Random+K-Center,K-Center+Random,74,68,Improved,6.0
10399,K-Means,K-Center,K-Means+K-Center,K-Center+K-Means,53,72,Worse,-19.0
10399,Farthest,K-Center,Farthest+K-Center,Farthest+K-Center,76,100,Worse,-24.0
10399,ODAL,K-Center,ODAL+K-Center,K-Center+ODAL,67,74,Worse,-7.0
10402,Centroids_saturation_high,K-Center,Centroids_saturation_high+K-Center,Centroids_saturation_high+K-Center,87,100,Worse,-13.0
10402,K-Means,K-Center,K-Means+K-Center,K-Center+K-Means,100,84,Improved,16.0
10402,ODAL,K-Center,ODAL+K-Center,K-Center+ODAL,100,85,Improved,15.0
10402,Centroids_saturation_low,K-Center,Centroids_saturation_low+K-Center,Centroids_saturation_low+K-Center,61,100,Worse,-39.0
10403,Random,K-Center,Random+K-Center,K-Center+Random,60,100,Worse,-40.0
10403,Farthest,K-Center,Farthest+K-Center,Farthest+K-Center,91,100,Worse,-9.0
10403,ODAL,K-Center,ODAL+K-Center,K-Center+ODAL,45,100,Worse,-55.0
10403,Centroids_saturation_medium,K-Center,Centroids_saturation_medium+K-Center,Centroids_saturation_medium+K-Center,57,100,Worse,-43.0
10403,Centroids_saturation_low,K-Center,Centroids_saturation_low+K-Center,Centroids_saturation_low+K-Center,100,97,Improved,3.0
10311,Centroids_saturation_high,K-Center,Centroids_saturation_high+K-Center,Centroids_saturation_high+K-Center,100,65,Improved,35.0
10311,Random,K-Center,Random+K-Center,K-Center+Random,81,48,Improved,33.0
10311,LHS,K-Center,LHS+K-Center,K-Center+LHS,90,76,Improved,14.0
10311,K-Means,K-Center,K-Means+K-Center,K-Center+K-Means,100,78,Improved,22.0
10311,Farthest,K-Center,Farthest+K-Center,Farthest+K-Center,57,54,Improved,3.0
10311,ODAL,K-Center,ODAL+K-Center,K-Center+ODAL,30,53,Worse,-23.0
10311,Centroids_saturation_medium,K-Center,Centroids_saturation_medium+K-Center,Centroids_saturation_medium+K-Center,100,63,Improved,37.0
10311,Centroids_saturation_low,K-Center,Centroids_saturation_low+K-Center,Centroids_saturation_low+K-Center,100,76,Improved,24.0
10304,Centroids_saturation_high,K-Center,Centroids_saturation_high+K-Center,Centroids_saturation_high+K-Center,100,58,Improved,42.0
10304,Random,K-Center,Random+K-Center,K-Center+Random,100,73,Improved,27.0
10304,LHS,K-Center,LHS+K-Center,K-Center+LHS,72,68,Improved,4.0
10304,K-Means,K-Center,K-Means+K-Center,K-Center+K-Means,74,59,Improved,15.0
10304,Farthest,K-Center,Farthest+K-Center,Farthest+K-Center,74,85,Worse,-11.0
10304,ODAL,K-Center,ODAL+K-Center,K-Center+ODAL,100,61,Improved,39.0
10304,Centroids_saturation_medium,K-Center,Centroids_saturation_medium+K-Center,Centroids_saturation_medium+K-Center,100,91,Improved,9.0
10304,Centroids_saturation_low,K-Center,Centroids_saturation_low+K-Center,Centroids_saturation_low+K-Center,100,70,Improved,30.0
10275,Centroids_saturation_high,K-Center,Centroids_saturation_high+K-Center,Centroids_saturation_high+K-Center,100,51,Improved,49.0
10275,Random,K-Center,Random+K-Center,K-Center+Random,87,100,Worse,-13.0
10275,LHS,K-Center,LHS+K-Center,K-Center+LHS,100,89,Improved,11.0
10275,Farthest,K-Center,Farthest+K-Center,Farthest+K-Center,66,93,Worse,-27.0
10275,ODAL,K-Center,ODAL+K-Center,K-Center+ODAL,78,49,Improved,29.0
10275,Centroids_saturation_medium,K-Center,Centroids_saturation_medium+K-Center,Centroids_saturation_medium+K-Center,100,50,Improved,50.0
10275,Centroids_saturation_low,K-Center,Centroids_saturation_low+K-Center,Centroids_saturation_low+K-Center,100,47,Improved,53.0
10272,Centroids_saturation_high,K-Center,Centroids_saturation_high+K-Center,Centroids_saturation_high+K-Center,100,54,Improved,46.0
10272,Random,K-Center,Random+K-Center,K-Center+Random,34,100,Worse,-66.0
10272,K-Means,K-Center,K-Means+K-Center,K-Center+K-Means,100,42,Improved,58.0
10272,Farthest,K-Center,Farthest+K-Center,Farthest+K-Center,39,100,Worse,-61.0
10272,ODAL,K-Center,ODAL+K-Center,K-Center+ODAL,47,100,Worse,-53.0
10272,Centroids_saturation_medium,K-Center,Centroids_saturation_medium+K-Center,Centroids_saturation_medium+K-Center,100,63,Improved,37.0
10272,Centroids_saturation_low,K-Center,Centroids_saturation_low+K-Center,Centroids_saturation_low+K-Center,100,62,Improved,38.0
