MaterialLibrary,BaseStrategy,MixedWith,MixedStrategy,CanonicalMixedStrategy,BaseStoppingIteration,MixedStoppingIteration,ComparisonResult,ImprovementPercentage
10374,Random,LHS,Random+LHS,LHS+Random,100,55,Improved,45.0
10374,K-Means,LHS,K-Means+LHS,K-Means+LHS,100,65,Improved,35.0
10374,Farthest,LHS,LHS+Farthest,Farthest+LHS,64,95,Worse,-31.0
10374,K-Center,LHS,LHS+K-Center,K-Center+LHS,72,68,Improved,4.0
10374,ODAL,LHS,LHS+ODAL,LHS+ODAL,59,87,Worse,-28.0
10374,Centroids_saturation_low,LHS,Centroids_saturation_low+LHS,Centroids_saturation_low+LHS,71,100,Worse,-29.0
10399,Random,LHS,Random+LHS,LHS+Random,74,100,Worse,-26.0
10399,K-Means,LHS,LHS+K-Means,K-Means+LHS,53,100,Worse,-47.0
10399,Farthest,LHS,LHS+Farthest,Farthest+LHS,76,70,Improved,6.0
10399,K-Center,LHS,LHS+K-Center,K-Center+LHS,70,100,Worse,-30.0
10399,ODAL,LHS,LHS+ODAL,LHS+ODAL,67,77,Worse,-10.0
10402,Centroids_saturation_high,LHS,Centroids_saturation_high+LHS,Centroids_saturation_high+LHS,87,100,Worse,-13.0
10402,Centroids_saturation_low,LHS,Centroids_saturation_low+LHS,Centroids_saturation_low+LHS,61,100,Worse,-39.0
10403,Random,LHS,Random+LHS,LHS+Random,60,100,Worse,-40.0
10403,Farthest,LHS,LHS+Farthest,Farthest+LHS,91,100,Worse,-9.0
10403,K-Center,LHS,LHS+K-Center,K-Center+LHS,79,100,Worse,-21.0
10403,ODAL,LHS,LHS+ODAL,LHS+ODAL,45,100,Worse,-55.0
10403,Centroids_saturation_medium,LHS,Centroids_saturation_medium+LHS,Centroids_saturation_medium+LHS,57,100,Worse,-43.0
10311,Random,LHS,Random+LHS,LHS+Random,81,100,Worse,-19.0
10311,K-Means,LHS,LHS+K-Means,K-Means+LHS,100,74,Improved,26.0
10311,Farthest,LHS,LHS+Farthest,Farthest+LHS,57,77,Worse,-20.0
10311,K-Center,LHS,LHS+K-Center,K-Center+LHS,97,76,Improved,21.0
10311,ODAL,LHS,LHS+ODAL,LHS+ODAL,30,67,Worse,-37.0
10304,Centroids_saturation_high,LHS,Centroids_saturation_high+LHS,Centroids_saturation_high+LHS,100,73,Improved,27.0
10304,Random,LHS,Random+LHS,LHS+Random,100,73,Improved,27.0
10304,K-Means,LHS,LHS+K-Means,K-Means+LHS,74,70,Improved,4.0
10304,Farthest,LHS,LHS+Farthest,Farthest+LHS,74,71,Improved,3.0
10304,K-Center,LHS,LHS+K-Center,K-Center+LHS,76,68,Improved,8.0
10304,ODAL,LHS,LHS+ODAL,LHS+ODAL,100,69,Improved,31.0
10304,Centroids_saturation_medium,LHS,Centroids_saturation_medium+LHS,Centroids_saturation_medium+LHS,100,71,Improved,29.0
10304,Centroids_saturation_low,LHS,Centroids_saturation_low+LHS,Centroids_saturation_low+LHS,100,67,Improved,33.0
10275,Random,LHS,Random+LHS,LHS+Random,87,100,Worse,-13.0
10275,K-Center,LHS,LHS+K-Center,K-Center+LHS,73,89,Worse,-16.0
10275,ODAL,LHS,LHS+ODAL,LHS+ODAL,78,100,Worse,-22.0
10272,Centroids_saturation_high,LHS,Centroids_saturation_high+LHS,Centroids_saturation_high+LHS,100,67,Improved,33.0
10272,Random,LHS,Random+LHS,LHS+Random,34,54,Worse,-20.0
10272,Farthest,LHS,LHS+Farthest,Farthest+LHS,39,69,Worse,-30.0
10272,K-Center,LHS,LHS+K-Center,K-Center+LHS,48,100,Worse,-52.0
10272,ODAL,LHS,LHS+ODAL,LHS+ODAL,47,100,Worse,-53.0
10272,Centroids_saturation_medium,LHS,Centroids_saturation_medium+LHS,Centroids_saturation_medium+LHS,100,62,Improved,38.0
10272,Centroids_saturation_low,LHS,Centroids_saturation_low+LHS,Centroids_saturation_low+LHS,100,68,Improved,32.0
