MaterialLibrary,BaseStrategy,MixedWith,MixedStrategy,CanonicalMixedStrategy,BaseStoppingIteration,MixedStoppingIteration,ComparisonResult,ImprovementPercentage
10374,Centroids_saturation_high,Top5Similarity,Top5Similarity+Centroids_saturation_high,Centroids_saturation_high+Top5Similarity,100,77,Improved,23.0
10374,Random,Top5Similarity,Top5Similarity+Random,Random+Top5Similarity,100,39,Improved,61.0
10374,LHS,Top5Similarity,Top5Similarity+LHS,LHS+Top5Similarity,100,77,Improved,23.0
10374,K-Means,Top5Similarity,K-Means+Top5Similarity,K-Means+Top5Similarity,100,84,Improved,16.0
10374,Farthest,Top5Similarity,Top5Similarity+Farthest,Farthest+Top5Similarity,64,54,Improved,10.0
10374,K-Center,Top5Similarity,Top5Similarity+K-Center,K-Center+Top5Similarity,72,90,Worse,-18.0
10374,ODAL,Top5Similarity,Top5Similarity+ODAL,ODAL+Top5Similarity,59,100,Worse,-41.0
10374,Centroids_saturation_medium,Top5Similarity,Top5Similarity+Centroids_saturation_medium,Centroids_saturation_medium+Top5Similarity,100,47,Improved,53.0
10374,Centroids_saturation_low,Top5Similarity,Top5Similarity+Centroids_saturation_low,Centroids_saturation_low+Top5Similarity,71,49,Improved,22.0
10399,Centroids_saturation_high,Top5Similarity,Top5Similarity+Centroids_saturation_high,Centroids_saturation_high+Top5Similarity,100,92,Improved,8.0
10399,Random,Top5Similarity,Top5Similarity+Random,Random+Top5Similarity,74,65,Improved,9.0
10399,LHS,Top5Similarity,Top5Similarity+LHS,LHS+Top5Similarity,100,80,Improved,20.0
10399,K-Means,Top5Similarity,Top5Similarity+K-Means,K-Means+Top5Similarity,53,100,Worse,-47.0
10399,Farthest,Top5Similarity,Top5Similarity+Farthest,Farthest+Top5Similarity,76,100,Worse,-24.0
10399,K-Center,Top5Similarity,Top5Similarity+K-Center,K-Center+Top5Similarity,70,100,Worse,-30.0
10399,ODAL,Top5Similarity,Top5Similarity+ODAL,ODAL+Top5Similarity,67,100,Worse,-33.0
10399,Centroids_saturation_medium,Top5Similarity,Top5Similarity+Centroids_saturation_medium,Centroids_saturation_medium+Top5Similarity,100,90,Improved,10.0
10399,Centroids_saturation_low,Top5Similarity,Top5Similarity+Centroids_saturation_low,Centroids_saturation_low+Top5Similarity,100,90,Improved,10.0
10402,Centroids_saturation_high,Top5Similarity,Top5Similarity+Centroids_saturation_high,Centroids_saturation_high+Top5Similarity,87,100,Worse,-13.0
10402,K-Means,Top5Similarity,Top5Similarity+K-Means,K-Means+Top5Similarity,100,97,Improved,3.0
10402,Centroids_saturation_low,Top5Similarity,Top5Similarity+Centroids_saturation_low,Centroids_saturation_low+Top5Similarity,61,100,Worse,-39.0
10403,Random,Top5Similarity,Top5Similarity+Random,Random+Top5Similarity,60,98,Worse,-38.0
10403,K-Means,Top5Similarity,Top5Similarity+K-Means,K-Means+Top5Similarity,100,55,Improved,45.0
10403,Farthest,Top5Similarity,Top5Similarity+Farthest,Farthest+Top5Similarity,91,100,Worse,-9.0
10403,K-Center,Top5Similarity,Top5Similarity+K-Center,K-Center+Top5Similarity,79,71,Improved,8.0
10403,ODAL,Top5Similarity,Top5Similarity+ODAL,ODAL+Top5Similarity,45,100,Worse,-55.0
10403,Centroids_saturation_medium,Top5Similarity,Top5Similarity+Centroids_saturation_medium,Centroids_saturation_medium+Top5Similarity,57,90,Worse,-33.0
10311,Centroids_saturation_high,Top5Similarity,Top5Similarity+Centroids_saturation_high,Centroids_saturation_high+Top5Similarity,100,79,Improved,21.0
10311,Random,Top5Similarity,Top5Similarity+Random,Random+Top5Similarity,81,89,Worse,-8.0
10311,LHS,Top5Similarity,Top5Similarity+LHS,LHS+Top5Similarity,90,79,Improved,11.0
10311,Farthest,Top5Similarity,Top5Similarity+Farthest,Farthest+Top5Similarity,57,55,Improved,2.0
10311,K-Center,Top5Similarity,Top5Similarity+K-Center,K-Center+Top5Similarity,97,43,Improved,54.0
10311,ODAL,Top5Similarity,Top5Similarity+ODAL,ODAL+Top5Similarity,30,47,Worse,-17.0
10311,Centroids_saturation_medium,Top5Similarity,Top5Similarity+Centroids_saturation_medium,Centroids_saturation_medium+Top5Similarity,100,62,Improved,38.0
10311,Centroids_saturation_low,Top5Similarity,Top5Similarity+Centroids_saturation_low,Centroids_saturation_low+Top5Similarity,100,76,Improved,24.0
10304,Random,Top5Similarity,Top5Similarity+Random,Random+Top5Similarity,100,73,Improved,27.0
10304,LHS,Top5Similarity,Top5Similarity+LHS,LHS+Top5Similarity,72,67,Improved,5.0
10304,K-Means,Top5Similarity,Top5Similarity+K-Means,K-Means+Top5Similarity,74,76,Worse,-2.0
10304,Farthest,Top5Similarity,Top5Similarity+Farthest,Farthest+Top5Similarity,74,76,Worse,-2.0
10304,K-Center,Top5Similarity,Top5Similarity+K-Center,K-Center+Top5Similarity,76,71,Improved,5.0
10275,Centroids_saturation_high,Top5Similarity,Top5Similarity+Centroids_saturation_high,Centroids_saturation_high+Top5Similarity,100,98,Improved,2.0
10275,Random,Top5Similarity,Top5Similarity+Random,Random+Top5Similarity,87,100,Worse,-13.0
10275,K-Means,Top5Similarity,Top5Similarity+K-Means,K-Means+Top5Similarity,100,83,Improved,17.0
10275,Farthest,Top5Similarity,Top5Similarity+Farthest,Farthest+Top5Similarity,66,100,Worse,-34.0
10275,K-Center,Top5Similarity,Top5Similarity+K-Center,K-Center+Top5Similarity,73,100,Worse,-27.0
10275,ODAL,Top5Similarity,Top5Similarity+ODAL,ODAL+Top5Similarity,78,92,Worse,-14.0
10272,Centroids_saturation_high,Top5Similarity,Top5Similarity+Centroids_saturation_high,Centroids_saturation_high+Top5Similarity,100,73,Improved,27.0
10272,Random,Top5Similarity,Top5Similarity+Random,Random+Top5Similarity,34,67,Worse,-33.0
10272,LHS,Top5Similarity,Top5Similarity+LHS,LHS+Top5Similarity,100,71,Improved,29.0
10272,K-Means,Top5Similarity,Top5Similarity+K-Means,K-Means+Top5Similarity,100,52,Improved,48.0
10272,Farthest,Top5Similarity,Top5Similarity+Farthest,Farthest+Top5Similarity,39,100,Worse,-61.0
10272,K-Center,Top5Similarity,Top5Similarity+K-Center,K-Center+Top5Similarity,48,45,Improved,3.0
10272,ODAL,Top5Similarity,Top5Similarity+ODAL,ODAL+Top5Similarity,47,74,Worse,-27.0
10272,Centroids_saturation_medium,Top5Similarity,Top5Similarity+Centroids_saturation_medium,Centroids_saturation_medium+Top5Similarity,100,71,Improved,29.0
10272,Centroids_saturation_low,Top5Similarity,Top5Similarity+Centroids_saturation_low,Centroids_saturation_low+Top5Similarity,100,58,Improved,42.0
