MaterialLibrary,BaseStrategy,MixedWith,MixedStrategy,CanonicalMixedStrategy,BaseStoppingIteration,MixedStoppingIteration,ComparisonResult,ImprovementPercentage
10374,Centroids_saturation_high,Centroids_saturation_low,Centroids_saturation_high+Centroids_saturation_low,Centroids_saturation_high+Centroids_saturation_low,100,61,Improved,39.0
10374,LHS,Centroids_saturation_low,Centroids_saturation_low+LHS,Centroids_saturation_low+LHS,100,96,Improved,4.0
10374,Farthest,Centroids_saturation_low,Centroids_saturation_low+Farthest,Centroids_saturation_low+Farthest,64,100,Worse,-36.0
10374,K-Center,Centroids_saturation_low,Centroids_saturation_low+K-Center,Centroids_saturation_low+K-Center,72,100,Worse,-28.0
10374,ODAL,Centroids_saturation_low,Centroids_saturation_low+ODAL,Centroids_saturation_low+ODAL,59,97,Worse,-38.0
10374,Centroids_saturation_medium,Centroids_saturation_low,Centroids_saturation_medium+Centroids_saturation_low,Centroids_saturation_low+Centroids_saturation_medium,100,66,Improved,34.0
10399,Random,Centroids_saturation_low,Centroids_saturation_low+Random,Centroids_saturation_low+Random,74,84,Worse,-10.0
10399,K-Means,Centroids_saturation_low,Centroids_saturation_low+K-Means,Centroids_saturation_low+K-Means,53,69,Worse,-16.0
10399,Farthest,Centroids_saturation_low,Centroids_saturation_low+Farthest,Centroids_saturation_low+Farthest,76,77,Worse,-1.0
10399,K-Center,Centroids_saturation_low,Centroids_saturation_low+K-Center,Centroids_saturation_low+K-Center,70,74,Worse,-4.0
10399,ODAL,Centroids_saturation_low,Centroids_saturation_low+ODAL,Centroids_saturation_low+ODAL,67,100,Worse,-33.0
10402,Centroids_saturation_high,Centroids_saturation_low,Centroids_saturation_high+Centroids_saturation_low,Centroids_saturation_high+Centroids_saturation_low,87,100,Worse,-13.0
10402,Farthest,Centroids_saturation_low,Centroids_saturation_low+Farthest,Centroids_saturation_low+Farthest,100,65,Improved,35.0
10403,Random,Centroids_saturation_low,Centroids_saturation_low+Random,Centroids_saturation_low+Random,60,100,Worse,-40.0
10403,LHS,Centroids_saturation_low,Centroids_saturation_low+LHS,Centroids_saturation_low+LHS,100,90,Improved,10.0
10403,K-Means,Centroids_saturation_low,Centroids_saturation_low+K-Means,Centroids_saturation_low+K-Means,100,67,Improved,33.0
10403,Farthest,Centroids_saturation_low,Centroids_saturation_low+Farthest,Centroids_saturation_low+Farthest,91,93,Worse,-2.0
10403,K-Center,Centroids_saturation_low,Centroids_saturation_low+K-Center,Centroids_saturation_low+K-Center,79,100,Worse,-21.0
10403,ODAL,Centroids_saturation_low,Centroids_saturation_low+ODAL,Centroids_saturation_low+ODAL,45,52,Worse,-7.0
10403,Centroids_saturation_medium,Centroids_saturation_low,Centroids_saturation_medium+Centroids_saturation_low,Centroids_saturation_low+Centroids_saturation_medium,57,100,Worse,-43.0
10311,Random,Centroids_saturation_low,Centroids_saturation_low+Random,Centroids_saturation_low+Random,81,100,Worse,-19.0
10311,LHS,Centroids_saturation_low,Centroids_saturation_low+LHS,Centroids_saturation_low+LHS,90,100,Worse,-10.0
10311,Farthest,Centroids_saturation_low,Centroids_saturation_low+Farthest,Centroids_saturation_low+Farthest,57,89,Worse,-32.0
10311,K-Center,Centroids_saturation_low,Centroids_saturation_low+K-Center,Centroids_saturation_low+K-Center,97,67,Improved,30.0
10311,ODAL,Centroids_saturation_low,Centroids_saturation_low+ODAL,Centroids_saturation_low+ODAL,30,86,Worse,-56.0
10304,Centroids_saturation_high,Centroids_saturation_low,Centroids_saturation_high+Centroids_saturation_low,Centroids_saturation_high+Centroids_saturation_low,100,69,Improved,31.0
10304,Random,Centroids_saturation_low,Centroids_saturation_low+Random,Centroids_saturation_low+Random,100,88,Improved,12.0
