MaterialLibrary,BaseStrategy,MixedWith,MixedStrategy,CanonicalMixedStrategy,BaseStoppingIteration,MixedStoppingIteration,ComparisonResult,ImprovementPercentage
10374,K-Means,Farthest,K-Means+Farthest,Farthest+K-Means,100,42,Improved,58.0
10374,K-Center,Farthest,Farthest+K-Center,Farthest+K-Center,72,100,Worse,-28.0
10374,ODAL,Farthest,Farthest+ODAL,Farthest+ODAL,59,100,Worse,-41.0
10374,Centroids_saturation_low,Farthest,Centroids_saturation_low+Farthest,Centroids_saturation_low+Farthest,71,100,Worse,-29.0
10399,Centroids_saturation_high,Farthest,Centroids_saturation_high+Farthest,Centroids_saturation_high+Farthest,100,67,Improved,33.0
10399,Random,Farthest,Random+Farthest,Farthest+Random,74,79,Worse,-5.0
10399,LHS,Farthest,LHS+Farthest,Farthest+LHS,100,67,Improved,33.0
10399,K-Means,Farthest,K-Means+Farthest,Farthest+K-Means,53,100,Worse,-47.0
10399,K-Center,Farthest,Farthest+K-Center,Farthest+K-Center,70,83,Worse,-13.0
10399,ODAL,Farthest,Farthest+ODAL,Farthest+ODAL,67,79,Worse,-12.0
10399,Centroids_saturation_medium,Farthest,Centroids_saturation_medium+Farthest,Centroids_saturation_medium+Farthest,100,80,Improved,20.0
10399,Centroids_saturation_low,Farthest,Centroids_saturation_low+Farthest,Centroids_saturation_low+Farthest,100,77,Improved,23.0
10402,Centroids_saturation_high,Farthest,Centroids_saturation_high+Farthest,Centroids_saturation_high+Farthest,87,54,Improved,33.0
10402,LHS,Farthest,LHS+Farthest,Farthest+LHS,100,58,Improved,42.0
10402,ODAL,Farthest,Farthest+ODAL,Farthest+ODAL,100,77,Improved,23.0
10402,Centroids_saturation_medium,Farthest,Centroids_saturation_medium+Farthest,Centroids_saturation_medium+Farthest,100,58,Improved,42.0
10402,Centroids_saturation_low,Farthest,Centroids_saturation_low+Farthest,Centroids_saturation_low+Farthest,61,65,Worse,-4.0
10403,Random,Farthest,Random+Farthest,Farthest+Random,60,100,Worse,-40.0
10403,K-Means,Farthest,K-Means+Farthest,Farthest+K-Means,100,35,Improved,65.0
10403,K-Center,Farthest,Farthest+K-Center,Farthest+K-Center,79,100,Worse,-21.0
10403,ODAL,Farthest,Farthest+ODAL,Farthest+ODAL,45,100,Worse,-55.0
10403,Centroids_saturation_medium,Farthest,Centroids_saturation_medium+Farthest,Centroids_saturation_medium+Farthest,57,100,Worse,-43.0
10403,Centroids_saturation_low,Farthest,Centroids_saturation_low+Farthest,Centroids_saturation_low+Farthest,100,93,Improved,7.0
10311,Centroids_saturation_high,Farthest,Centroids_saturation_high+Farthest,Centroids_saturation_high+Farthest,100,64,Improved,36.0
10311,LHS,Farthest,LHS+Farthest,Farthest+LHS,90,66,Improved,24.0
10311,K-Means,Farthest,K-Means+Farthest,Farthest+K-Means,100,53,Improved,47.0
10311,K-Center,Farthest,Farthest+K-Center,Farthest+K-Center,97,48,Improved,49.0
10311,ODAL,Farthest,Farthest+ODAL,Farthest+ODAL,30,45,Worse,-15.0
10311,Centroids_saturation_medium,Farthest,Centroids_saturation_medium+Farthest,Centroids_saturation_medium+Farthest,100,62,Improved,38.0
10311,Centroids_saturation_low,Farthest,Centroids_saturation_low+Farthest,Centroids_saturation_low+Farthest,100,89,Improved,11.0
10304,Centroids_saturation_high,Farthest,Centroids_saturation_high+Farthest,Centroids_saturation_high+Farthest,100,75,Improved,25.0
10304,Random,Farthest,Random+Farthest,Farthest+Random,100,78,Improved,22.0
10304,LHS,Farthest,LHS+Farthest,Farthest+LHS,72,80,Worse,-8.0
10304,K-Means,Farthest,K-Means+Farthest,Farthest+K-Means,74,69,Improved,5.0
10304,K-Center,Farthest,Farthest+K-Center,Farthest+K-Center,76,67,Improved,9.0
10304,ODAL,Farthest,Farthest+ODAL,Farthest+ODAL,100,69,Improved,31.0
10304,Centroids_saturation_medium,Farthest,Centroids_saturation_medium+Farthest,Centroids_saturation_medium+Farthest,100,68,Improved,32.0
10304,Centroids_saturation_low,Farthest,Centroids_saturation_low+Farthest,Centroids_saturation_low+Farthest,100,69,Improved,31.0
10275,Centroids_saturation_high,Farthest,Centroids_saturation_high+Farthest,Centroids_saturation_high+Farthest,100,99,Improved,1.0
10275,Random,Farthest,Random+Farthest,Farthest+Random,87,100,Worse,-13.0
10275,K-Means,Farthest,K-Means+Farthest,Farthest+K-Means,100,91,Improved,9.0
10275,K-Center,Farthest,Farthest+K-Center,Farthest+K-Center,73,100,Worse,-27.0
10275,ODAL,Farthest,Farthest+ODAL,Farthest+ODAL,78,96,Worse,-18.0
10275,Centroids_saturation_medium,Farthest,Centroids_saturation_medium+Farthest,Centroids_saturation_medium+Farthest,100,98,Improved,2.0
10272,Centroids_saturation_high,Farthest,Centroids_saturation_high+Farthest,Centroids_saturation_high+Farthest,100,53,Improved,47.0
10272,Random,Farthest,Random+Farthest,Farthest+Random,34,100,Worse,-66.0
10272,LHS,Farthest,LHS+Farthest,Farthest+LHS,100,41,Improved,59.0
10272,K-Means,Farthest,K-Means+Farthest,Farthest+K-Means,100,38,Improved,62.0
10272,K-Center,Farthest,Farthest+K-Center,Farthest+K-Center,48,100,Worse,-52.0
10272,ODAL,Farthest,Farthest+ODAL,Farthest+ODAL,47,100,Worse,-53.0
10272,Centroids_saturation_medium,Farthest,Centroids_saturation_medium+Farthest,Centroids_saturation_medium+Farthest,100,53,Improved,47.0
10272,Centroids_saturation_low,Farthest,Centroids_saturation_low+Farthest,Centroids_saturation_low+Farthest,100,57,Improved,43.0
