MaterialLibrary,BaseStrategy,MixedWith,MixedStrategy,CanonicalMixedStrategy,BaseStoppingIteration,MixedStoppingIteration,ComparisonResult,ImprovementPercentage
10374,Random,LHS,LHS+Random,LHS+Random,100,98,Improved,2.0
10374,K-Means,LHS,LHS+K-Means,K-Means+LHS,100,67,Improved,33.0
10374,Farthest,LHS,LHS+Farthest,Farthest+LHS,64,100,Worse,-36.0
10374,K-Center,LHS,LHS+K-Center,K-Center+LHS,72,100,Worse,-28.0
10374,ODAL,LHS,LHS+ODAL,LHS+ODAL,59,95,Worse,-36.0
10374,Centroids_saturation_low,LHS,Centroids_saturation_low+LHS,Centroids_saturation_low+LHS,71,96,Worse,-25.0
10399,Centroids_saturation_high,LHS,Centroids_saturation_high+LHS,Centroids_saturation_high+LHS,100,84,Improved,16.0
10399,Random,LHS,Random+LHS,LHS+Random,74,79,Worse,-5.0
10399,K-Means,LHS,LHS+K-Means,K-Means+LHS,53,83,Worse,-30.0
10399,Farthest,LHS,LHS+Farthest,Farthest+LHS,76,67,Improved,9.0
10399,K-Center,LHS,LHS+K-Center,K-Center+LHS,70,73,Worse,-3.0
10399,ODAL,LHS,LHS+ODAL,LHS+ODAL,67,82,Worse,-15.0
10399,Centroids_saturation_medium,LHS,Centroids_saturation_medium+LHS,Centroids_saturation_medium+LHS,100,84,Improved,16.0
10402,Centroids_saturation_high,LHS,Centroids_saturation_high+LHS,Centroids_saturation_high+LHS,87,100,Worse,-13.0
10402,K-Means,LHS,LHS+K-Means,K-Means+LHS,100,59,Improved,41.0
10402,Farthest,LHS,LHS+Farthest,Farthest+LHS,100,58,Improved,42.0
10402,K-Center,LHS,LHS+K-Center,K-Center+LHS,100,75,Improved,25.0
10402,Centroids_saturation_low,LHS,Centroids_saturation_low+LHS,Centroids_saturation_low+LHS,61,100,Worse,-39.0
10403,Random,LHS,Random+LHS,LHS+Random,60,100,Worse,-40.0
10403,Farthest,LHS,LHS+Farthest,Farthest+LHS,91,100,Worse,-9.0
10403,K-Center,LHS,LHS+K-Center,K-Center+LHS,79,100,Worse,-21.0
10403,ODAL,LHS,LHS+ODAL,LHS+ODAL,45,85,Worse,-40.0
10403,Centroids_saturation_medium,LHS,Centroids_saturation_medium+LHS,Centroids_saturation_medium+LHS,57,84,Worse,-27.0
10403,Centroids_saturation_low,LHS,Centroids_saturation_low+LHS,Centroids_saturation_low+LHS,100,90,Improved,10.0
10311,Random,LHS,Random+LHS,LHS+Random,81,100,Worse,-19.0
10311,K-Means,LHS,LHS+K-Means,K-Means+LHS,100,79,Improved,21.0
10311,Farthest,LHS,LHS+Farthest,Farthest+LHS,57,66,Worse,-9.0
10311,K-Center,LHS,LHS+K-Center,K-Center+LHS,97,70,Improved,27.0
10311,ODAL,LHS,LHS+ODAL,LHS+ODAL,30,57,Worse,-27.0
10304,Centroids_saturation_high,LHS,Centroids_saturation_high+LHS,Centroids_saturation_high+LHS,100,56,Improved,44.0
10304,Random,LHS,Random+LHS,LHS+Random,100,73,Improved,27.0
10304,K-Means,LHS,LHS+K-Means,K-Means+LHS,74,84,Worse,-10.0
10304,Farthest,LHS,LHS+Farthest,Farthest+LHS,74,80,Worse,-6.0
10304,K-Center,LHS,LHS+K-Center,K-Center+LHS,76,82,Worse,-6.0
10304,Centroids_saturation_medium,LHS,Centroids_saturation_medium+LHS,Centroids_saturation_medium+LHS,100,82,Improved,18.0
10304,Centroids_saturation_low,LHS,Centroids_saturation_low+LHS,Centroids_saturation_low+LHS,100,75,Improved,25.0
10275,Random,LHS,Random+LHS,LHS+Random,87,46,Improved,41.0
10275,Farthest,LHS,LHS+Farthest,Farthest+LHS,66,100,Worse,-34.0
10275,K-Center,LHS,LHS+K-Center,K-Center+LHS,73,100,Worse,-27.0
10275,ODAL,LHS,LHS+ODAL,LHS+ODAL,78,83,Worse,-5.0
10272,Centroids_saturation_high,LHS,Centroids_saturation_high+LHS,Centroids_saturation_high+LHS,100,78,Improved,22.0
10272,Random,LHS,Random+LHS,LHS+Random,34,56,Worse,-22.0
10272,K-Means,LHS,LHS+K-Means,K-Means+LHS,100,45,Improved,55.0
10272,Farthest,LHS,LHS+Farthest,Farthest+LHS,39,41,Worse,-2.0
10272,K-Center,LHS,LHS+K-Center,K-Center+LHS,48,40,Improved,8.0
10272,ODAL,LHS,LHS+ODAL,LHS+ODAL,47,59,Worse,-12.0
10272,Centroids_saturation_medium,LHS,Centroids_saturation_medium+LHS,Centroids_saturation_medium+LHS,100,90,Improved,10.0
10272,Centroids_saturation_low,LHS,Centroids_saturation_low+LHS,Centroids_saturation_low+LHS,100,81,Improved,19.0
