MaterialLibrary,BaseStrategy,MixedWith,MixedStrategy,CanonicalMixedStrategy,BaseStoppingIteration,MixedStoppingIteration,ComparisonResult,ImprovementPercentage
10374,Random,ODAL,ODAL+Random,ODAL+Random,100,62,Improved,38.0
10374,LHS,ODAL,LHS+ODAL,LHS+ODAL,100,95,Improved,5.0
10374,K-Means,ODAL,K-Means+ODAL,K-Means+ODAL,100,50,Improved,50.0
10374,Farthest,ODAL,Farthest+ODAL,Farthest+ODAL,64,100,Worse,-36.0
10374,K-Center,ODAL,ODAL+K-Center,K-Center+ODAL,72,56,Improved,16.0
10374,Centroids_saturation_low,ODAL,Centroids_saturation_low+ODAL,Centroids_saturation_low+ODAL,71,97,Worse,-26.0
10399,Centroids_saturation_high,ODAL,Centroids_saturation_high+ODAL,Centroids_saturation_high+ODAL,100,72,Improved,28.0
10399,Random,ODAL,Random+ODAL,ODAL+Random,74,81,Worse,-7.0
10399,LHS,ODAL,LHS+ODAL,LHS+ODAL,100,82,Improved,18.0
10399,K-Means,ODAL,K-Means+ODAL,K-Means+ODAL,53,100,Worse,-47.0
10399,Farthest,ODAL,Farthest+ODAL,Farthest+ODAL,76,79,Worse,-3.0
10399,K-Center,ODAL,ODAL+K-Center,K-Center+ODAL,70,82,Worse,-12.0
10399,Centroids_saturation_medium,ODAL,Centroids_saturation_medium+ODAL,Centroids_saturation_medium+ODAL,100,87,Improved,13.0
10402,Centroids_saturation_high,ODAL,Centroids_saturation_high+ODAL,Centroids_saturation_high+ODAL,87,100,Worse,-13.0
10402,Farthest,ODAL,Farthest+ODAL,Farthest+ODAL,100,77,Improved,23.0
10402,Centroids_saturation_low,ODAL,Centroids_saturation_low+ODAL,Centroids_saturation_low+ODAL,61,100,Worse,-39.0
10403,Centroids_saturation_high,ODAL,Centroids_saturation_high+ODAL,Centroids_saturation_high+ODAL,100,92,Improved,8.0
10403,LHS,ODAL,LHS+ODAL,LHS+ODAL,100,85,Improved,15.0
10403,Farthest,ODAL,Farthest+ODAL,Farthest+ODAL,91,100,Worse,-9.0
10403,K-Center,ODAL,ODAL+K-Center,K-Center+ODAL,79,100,Worse,-21.0
10403,Centroids_saturation_medium,ODAL,Centroids_saturation_medium+ODAL,Centroids_saturation_medium+ODAL,57,100,Worse,-43.0
10403,Centroids_saturation_low,ODAL,Centroids_saturation_low+ODAL,Centroids_saturation_low+ODAL,100,52,Improved,48.0
10311,Centroids_saturation_high,ODAL,Centroids_saturation_high+ODAL,Centroids_saturation_high+ODAL,100,64,Improved,36.0
10311,Random,ODAL,Random+ODAL,ODAL+Random,81,76,Improved,5.0
10311,LHS,ODAL,LHS+ODAL,LHS+ODAL,90,57,Improved,33.0
10311,K-Means,ODAL,K-Means+ODAL,K-Means+ODAL,100,61,Improved,39.0
10311,Farthest,ODAL,Farthest+ODAL,Farthest+ODAL,57,45,Improved,12.0
10311,K-Center,ODAL,ODAL+K-Center,K-Center+ODAL,97,41,Improved,56.0
10311,Centroids_saturation_medium,ODAL,Centroids_saturation_medium+ODAL,Centroids_saturation_medium+ODAL,100,62,Improved,38.0
10311,Centroids_saturation_low,ODAL,Centroids_saturation_low+ODAL,Centroids_saturation_low+ODAL,100,86,Improved,14.0
10304,Centroids_saturation_high,ODAL,Centroids_saturation_high+ODAL,Centroids_saturation_high+ODAL,100,72,Improved,28.0
10304,Random,ODAL,Random+ODAL,ODAL+Random,100,67,Improved,33.0
10304,LHS,ODAL,LHS+ODAL,LHS+ODAL,72,100,Worse,-28.0
10304,K-Means,ODAL,K-Means+ODAL,K-Means+ODAL,74,72,Improved,2.0
10304,Farthest,ODAL,Farthest+ODAL,Farthest+ODAL,74,69,Improved,5.0
10304,K-Center,ODAL,ODAL+K-Center,K-Center+ODAL,76,73,Improved,3.0
10304,Centroids_saturation_medium,ODAL,Centroids_saturation_medium+ODAL,Centroids_saturation_medium+ODAL,100,73,Improved,27.0
10304,Centroids_saturation_low,ODAL,Centroids_saturation_low+ODAL,Centroids_saturation_low+ODAL,100,67,Improved,33.0
10275,Random,ODAL,Random+ODAL,ODAL+Random,87,44,Improved,43.0
10275,LHS,ODAL,LHS+ODAL,LHS+ODAL,100,83,Improved,17.0
10275,Farthest,ODAL,Farthest+ODAL,Farthest+ODAL,66,96,Worse,-30.0
10275,K-Center,ODAL,ODAL+K-Center,K-Center+ODAL,73,99,Worse,-26.0
10275,Centroids_saturation_medium,ODAL,Centroids_saturation_medium+ODAL,Centroids_saturation_medium+ODAL,100,90,Improved,10.0
10275,Centroids_saturation_low,ODAL,Centroids_saturation_low+ODAL,Centroids_saturation_low+ODAL,100,89,Improved,11.0
10272,Centroids_saturation_high,ODAL,Centroids_saturation_high+ODAL,Centroids_saturation_high+ODAL,100,82,Improved,18.0
10272,Random,ODAL,Random+ODAL,ODAL+Random,34,56,Worse,-22.0
10272,LHS,ODAL,LHS+ODAL,LHS+ODAL,100,59,Improved,41.0
10272,K-Means,ODAL,K-Means+ODAL,K-Means+ODAL,100,57,Improved,43.0
10272,Farthest,ODAL,Farthest+ODAL,Farthest+ODAL,39,100,Worse,-61.0
10272,K-Center,ODAL,ODAL+K-Center,K-Center+ODAL,48,100,Worse,-52.0
10272,Centroids_saturation_medium,ODAL,Centroids_saturation_medium+ODAL,Centroids_saturation_medium+ODAL,100,90,Improved,10.0
10272,Centroids_saturation_low,ODAL,Centroids_saturation_low+ODAL,Centroids_saturation_low+ODAL,100,94,Improved,6.0
