MaterialLibrary,BaseStrategy,MixedWith,MixedStrategy,CanonicalMixedStrategy,BaseStoppingIteration,MixedStoppingIteration,ComparisonResult,ImprovementPercentage
10374,Centroids_saturation_high,Random,Centroids_saturation_high+Random,Centroids_saturation_high+Random,100,82,Improved,18.0
10374,LHS,Random,LHS+Random,LHS+Random,100,98,Improved,2.0
10374,K-Means,Random,Random+K-Means,K-Means+Random,100,50,Improved,50.0
10374,Farthest,Random,Random+Farthest,Farthest+Random,64,100,Worse,-36.0
10374,K-Center,Random,K-Center+Random,K-Center+Random,72,78,Worse,-6.0
10374,ODAL,Random,ODAL+Random,ODAL+Random,59,62,Worse,-3.0
10374,Centroids_saturation_low,Random,Centroids_saturation_low+Random,Centroids_saturation_low+Random,71,100,Worse,-29.0
10399,Centroids_saturation_high,Random,Centroids_saturation_high+Random,Centroids_saturation_high+Random,100,79,Improved,21.0
10399,LHS,Random,Random+LHS,LHS+Random,100,79,Improved,21.0
10399,K-Means,Random,Random+K-Means,K-Means+Random,53,70,Worse,-17.0
10399,Farthest,Random,Random+Farthest,Farthest+Random,76,79,Worse,-3.0
10399,K-Center,Random,Random+K-Center,K-Center+Random,70,75,Worse,-5.0
10399,ODAL,Random,Random+ODAL,ODAL+Random,67,81,Worse,-14.0
10399,Centroids_saturation_medium,Random,Centroids_saturation_medium+Random,Centroids_saturation_medium+Random,100,87,Improved,13.0
10399,Centroids_saturation_low,Random,Centroids_saturation_low+Random,Centroids_saturation_low+Random,100,84,Improved,16.0
10402,Centroids_saturation_high,Random,Centroids_saturation_high+Random,Centroids_saturation_high+Random,87,100,Worse,-13.0
10402,Centroids_saturation_low,Random,Centroids_saturation_low+Random,Centroids_saturation_low+Random,61,100,Worse,-39.0
10403,Farthest,Random,Random+Farthest,Farthest+Random,91,100,Worse,-9.0
10403,K-Center,Random,Random+K-Center,K-Center+Random,79,100,Worse,-21.0
10403,ODAL,Random,Random+ODAL,ODAL+Random,45,60,Worse,-15.0
10403,Centroids_saturation_medium,Random,Centroids_saturation_medium+Random,Centroids_saturation_medium+Random,57,100,Worse,-43.0
10311,LHS,Random,Random+LHS,LHS+Random,90,100,Worse,-10.0
10311,Farthest,Random,Random+Farthest,Farthest+Random,57,81,Worse,-24.0
10311,K-Center,Random,Random+K-Center,K-Center+Random,97,49,Improved,48.0
10311,ODAL,Random,Random+ODAL,ODAL+Random,30,76,Worse,-46.0
10304,Centroids_saturation_high,Random,Centroids_saturation_high+Random,Centroids_saturation_high+Random,100,69,Improved,31.0
10304,LHS,Random,Random+LHS,LHS+Random,72,73,Worse,-1.0
10304,K-Means,Random,Random+K-Means,K-Means+Random,74,64,Improved,10.0
10304,Farthest,Random,Random+Farthest,Farthest+Random,74,78,Worse,-4.0
10304,K-Center,Random,Random+K-Center,K-Center+Random,76,67,Improved,9.0
10304,ODAL,Random,Random+ODAL,ODAL+Random,100,67,Improved,33.0
10304,Centroids_saturation_low,Random,Centroids_saturation_low+Random,Centroids_saturation_low+Random,100,88,Improved,12.0
10275,LHS,Random,Random+LHS,LHS+Random,100,46,Improved,54.0
10275,Farthest,Random,Random+Farthest,Farthest+Random,66,100,Worse,-34.0
10275,K-Center,Random,Random+K-Center,K-Center+Random,73,75,Worse,-2.0
10275,ODAL,Random,Random+ODAL,ODAL+Random,78,44,Improved,34.0
10275,Centroids_saturation_medium,Random,Centroids_saturation_medium+Random,Centroids_saturation_medium+Random,100,93,Improved,7.0
10275,Centroids_saturation_low,Random,Centroids_saturation_low+Random,Centroids_saturation_low+Random,100,95,Improved,5.0
10272,Centroids_saturation_high,Random,Centroids_saturation_high+Random,Centroids_saturation_high+Random,100,62,Improved,38.0
10272,LHS,Random,Random+LHS,LHS+Random,100,56,Improved,44.0
10272,K-Means,Random,Random+K-Means,K-Means+Random,100,48,Improved,52.0
10272,Farthest,Random,Random+Farthest,Farthest+Random,39,100,Worse,-61.0
10272,K-Center,Random,Random+K-Center,K-Center+Random,48,52,Worse,-4.0
10272,ODAL,Random,Random+ODAL,ODAL+Random,47,56,Worse,-9.0
10272,Centroids_saturation_medium,Random,Centroids_saturation_medium+Random,Centroids_saturation_medium+Random,100,69,Improved,31.0
