MaterialLibrary,BaseStrategy,MixedWith,MixedStrategy,CanonicalMixedStrategy,BaseStoppingIteration,MixedStoppingIteration,ComparisonResult,ImprovementPercentage
10374,Centroids_saturation_high,Top5Similarity,Top5Similarity+Centroids_saturation_high,Centroids_saturation_high+Top5Similarity,100,77,Improved,23.0
10374,Random,Top5Similarity,Top5Similarity+Random,Random+Top5Similarity,100,68,Improved,32.0
10374,K-Means,Top5Similarity,K-Means+Top5Similarity,K-Means+Top5Similarity,100,84,Improved,16.0
10374,Farthest,Top5Similarity,Top5Similarity+Farthest,Farthest+Top5Similarity,64,100,Worse,-36.0
10374,K-Center,Top5Similarity,Top5Similarity+K-Center,K-Center+Top5Similarity,72,93,Worse,-21.0
10374,ODAL,Top5Similarity,Top5Similarity+ODAL,ODAL+Top5Similarity,59,100,Worse,-41.0
10374,Centroids_saturation_medium,Top5Similarity,Top5Similarity+Centroids_saturation_medium,Centroids_saturation_medium+Top5Similarity,100,47,Improved,53.0
10374,Centroids_saturation_low,Top5Similarity,Top5Similarity+Centroids_saturation_low,Centroids_saturation_low+Top5Similarity,71,49,Improved,22.0
10399,Centroids_saturation_high,Top5Similarity,Top5Similarity+Centroids_saturation_high,Centroids_saturation_high+Top5Similarity,100,92,Improved,8.0
10399,Random,Top5Similarity,Top5Similarity+Random,Random+Top5Similarity,74,79,Worse,-5.0
10399,LHS,Top5Similarity,Top5Similarity+LHS,LHS+Top5Similarity,100,81,Improved,19.0
10399,K-Means,Top5Similarity,Top5Similarity+K-Means,K-Means+Top5Similarity,53,100,Worse,-47.0
10399,K-Center,Top5Similarity,Top5Similarity+K-Center,K-Center+Top5Similarity,70,82,Worse,-12.0
10399,ODAL,Top5Similarity,Top5Similarity+ODAL,ODAL+Top5Similarity,67,100,Worse,-33.0
10399,Centroids_saturation_medium,Top5Similarity,Top5Similarity+Centroids_saturation_medium,Centroids_saturation_medium+Top5Similarity,100,90,Improved,10.0
10399,Centroids_saturation_low,Top5Similarity,Top5Similarity+Centroids_saturation_low,Centroids_saturation_low+Top5Similarity,100,90,Improved,10.0
10402,Centroids_saturation_high,Top5Similarity,Top5Similarity+Centroids_saturation_high,Centroids_saturation_high+Top5Similarity,87,100,Worse,-13.0
10402,K-Means,Top5Similarity,Top5Similarity+K-Means,K-Means+Top5Similarity,100,97,Improved,3.0
10402,Centroids_saturation_low,Top5Similarity,Top5Similarity+Centroids_saturation_low,Centroids_saturation_low+Top5Similarity,61,100,Worse,-39.0
10403,Random,Top5Similarity,Top5Similarity+Random,Random+Top5Similarity,60,100,Worse,-40.0
10403,K-Means,Top5Similarity,Top5Similarity+K-Means,K-Means+Top5Similarity,100,55,Improved,45.0
10403,Farthest,Top5Similarity,Top5Similarity+Farthest,Farthest+Top5Similarity,91,50,Improved,41.0
10403,K-Center,Top5Similarity,Top5Similarity+K-Center,K-Center+Top5Similarity,79,100,Worse,-21.0
10403,ODAL,Top5Similarity,Top5Similarity+ODAL,ODAL+Top5Similarity,45,100,Worse,-55.0
10403,Centroids_saturation_medium,Top5Similarity,Top5Similarity+Centroids_saturation_medium,Centroids_saturation_medium+Top5Similarity,57,90,Worse,-33.0
10311,Centroids_saturation_high,Top5Similarity,Top5Similarity+Centroids_saturation_high,Centroids_saturation_high+Top5Similarity,100,79,Improved,21.0
10311,Random,Top5Similarity,Top5Similarity+Random,Random+Top5Similarity,81,63,Improved,18.0
10311,Farthest,Top5Similarity,Top5Similarity+Farthest,Farthest+Top5Similarity,57,45,Improved,12.0
10311,K-Center,Top5Similarity,Top5Similarity+K-Center,K-Center+Top5Similarity,97,54,Improved,43.0
10311,ODAL,Top5Similarity,Top5Similarity+ODAL,ODAL+Top5Similarity,30,47,Worse,-17.0
10311,Centroids_saturation_medium,Top5Similarity,Top5Similarity+Centroids_saturation_medium,Centroids_saturation_medium+Top5Similarity,100,62,Improved,38.0
10311,Centroids_saturation_low,Top5Similarity,Top5Similarity+Centroids_saturation_low,Centroids_saturation_low+Top5Similarity,100,76,Improved,24.0
10304,Random,Top5Similarity,Top5Similarity+Random,Random+Top5Similarity,100,64,Improved,36.0
10304,LHS,Top5Similarity,Top5Similarity+LHS,LHS+Top5Similarity,72,77,Worse,-5.0
10304,K-Means,Top5Similarity,Top5Similarity+K-Means,K-Means+Top5Similarity,74,76,Worse,-2.0
10304,Farthest,Top5Similarity,Top5Similarity+Farthest,Farthest+Top5Similarity,74,65,Improved,9.0
10304,K-Center,Top5Similarity,Top5Similarity+K-Center,K-Center+Top5Similarity,76,53,Improved,23.0
10275,Centroids_saturation_high,Top5Similarity,Top5Similarity+Centroids_saturation_high,Centroids_saturation_high+Top5Similarity,100,98,Improved,2.0
10275,Random,Top5Similarity,Top5Similarity+Random,Random+Top5Similarity,87,100,Worse,-13.0
10275,LHS,Top5Similarity,Top5Similarity+LHS,LHS+Top5Similarity,100,81,Improved,19.0
10275,K-Means,Top5Similarity,Top5Similarity+K-Means,K-Means+Top5Similarity,100,83,Improved,17.0
