CanonicalMixedStrategy,MaxImprovedCount
Centroids_saturation_high+Farthest,6
Farthest+K-Means,6
Centroids_saturation_high+K-Means,6
Centroids_saturation_medium+Farthest,6
LHS+ODAL,6
K-Means+Top5Similarity,5
Centroids_saturation_low+K-Center,5
K-Means+LHS,5
Centroids_saturation_medium+ODAL,5
Centroids_saturation_medium+K-Center,5
Centroids_saturation_low+ODAL,5
K-Center+K-Means,5
Centroids_saturation_high+ODAL,5
Centroids_saturation_low+Farthest,5
Centroids_saturation_high+K-Center,5
Centroids_saturation_high+Top5Similarity,5
K-Center+Random,4
Farthest+LHS,4
ODAL+Random,4
Centroids_saturation_medium+Top5Similarity,4
K-Means+ODAL,4
LHS+Random,4
Centroids_saturation_medium+K-Means,4
Centroids_saturation_high+Random,4
Centroids_saturation_low+Top5Similarity,4
K-Center+LHS,4
K-Means+Random,3
K-Center+Top5Similarity,3
LHS+Top5Similarity,3
K-Center+ODAL,3
Centroids_saturation_medium+Random,3
Random+Top5Similarity,3
Farthest+Top5Similarity,3
Farthest+ODAL,3
Centroids_saturation_medium+LHS,3
Centroids_saturation_low+Random,3
Centroids_saturation_low+LHS,3
Centroids_saturation_low+K-Means,3
Centroids_saturation_high+LHS,3
Farthest+K-Center,2
Centroids_saturation_high+Centroids_saturation_medium,2
Centroids_saturation_low+Centroids_saturation_medium,2
Centroids_saturation_high+Centroids_saturation_low,2
Farthest+Random,1
