Strategy,StoppingIteration,EvenlyStoppingIteration
Centroids_saturation_high+Centroids_saturation_low,69,100
Centroids_saturation_low+Centroids_saturation_high,69,100
Centroids_saturation_high+Centroids_saturation_medium,59,100
Centroids_saturation_medium+Centroids_saturation_high,59,100
Centroids_saturation_high+Farthest,78,100
Farthest+Centroids_saturation_high,78,100
Centroids_saturation_high+K-Center,58,100
K-Center+Centroids_saturation_high,58,100
Centroids_saturation_high+K-Means,77,100
K-Means+Centroids_saturation_high,77,100
Centroids_saturation_high+LHS,73,100
LHS+Centroids_saturation_high,73,100
Max Comp+Centroids_saturation_high,71,100
Centroids_saturation_high+Max Comp,71,100
Min Comp+Centroids_saturation_high,70,100
Centroids_saturation_high+Min Comp,70,100
Centroids_saturation_high+ODAL,72,100
ODAL+Centroids_saturation_high,72,100
Centroids_saturation_high+Random,65,100
Random+Centroids_saturation_high,65,100
Centroids_saturation_medium+Centroids_saturation_low,80,100
Centroids_saturation_low+Centroids_saturation_medium,80,100
Centroids_saturation_low+Farthest,68,100
Farthest+Centroids_saturation_low,68,100
Centroids_saturation_low+K-Center,70,100
K-Center+Centroids_saturation_low,70,100
Centroids_saturation_low+K-Means,73,100
K-Means+Centroids_saturation_low,73,100
Centroids_saturation_low+LHS,67,100
LHS+Centroids_saturation_low,67,100
Max Comp+Centroids_saturation_low,66,100
Centroids_saturation_low+Max Comp,66,100
Min Comp+Centroids_saturation_low,72,100
Centroids_saturation_low+Min Comp,72,100
Centroids_saturation_low+ODAL,67,100
ODAL+Centroids_saturation_low,67,100
Centroids_saturation_low+Random,73,100
Random+Centroids_saturation_low,73,100
Centroids_saturation_medium+Farthest,72,100
Farthest+Centroids_saturation_medium,72,100
Centroids_saturation_medium+K-Center,91,100
K-Center+Centroids_saturation_medium,91,100
Centroids_saturation_medium+K-Means,75,100
K-Means+Centroids_saturation_medium,75,100
Centroids_saturation_medium+LHS,71,100
LHS+Centroids_saturation_medium,71,100
Max Comp+Centroids_saturation_medium,77,100
Centroids_saturation_medium+Max Comp,77,100
Min Comp+Centroids_saturation_medium,79,100
Centroids_saturation_medium+Min Comp,79,100
Centroids_saturation_medium+ODAL,73,100
ODAL+Centroids_saturation_medium,73,100
Centroids_saturation_medium+Random,68,100
Random+Centroids_saturation_medium,68,100
Farthest+K-Center,85,100
K-Center+Farthest,86,100
K-Means+Farthest,80,100
Farthest+K-Means,80,100
LHS+Farthest,71,100
Farthest+LHS,71,100
Max Comp+Farthest,75,100
Farthest+Max Comp,75,100
Min Comp+Farthest,70,100
Farthest+Min Comp,70,100
Farthest+ODAL,74,100
ODAL+Farthest,74,100
Random+Farthest,76,100
Farthest+Random,76,100
Top5Similarity+Farthest,76,100
Farthest+Top5Similarity,76,100
K-Means+K-Center,59,100
K-Center+K-Means,59,100
LHS+K-Center,68,100
K-Center+LHS,68,100
Min Comp+K-Center,76,100
K-Center+Min Comp,76,100
ODAL+K-Center,61,100
K-Center+ODAL,61,100
Random+K-Center,73,100
K-Center+Random,73,100
Top5Similarity+K-Center,71,100
K-Center+Top5Similarity,71,100
LHS+K-Means,70,100
K-Means+LHS,70,100
Max Comp+K-Means,84,100
K-Means+Max Comp,84,100
Min Comp+K-Means,68,100
K-Means+Min Comp,68,100
K-Means+ODAL,72,100
ODAL+K-Means,72,100
Random+K-Means,75,100
K-Means+Random,75,100
Top5Similarity+K-Means,76,100
K-Means+Top5Similarity,76,100
Max Comp+LHS,64,100
LHS+Max Comp,64,100
Min Comp+LHS,72,100
LHS+Min Comp,72,100
LHS+ODAL,69,100
ODAL+LHS,69,100
Random+LHS,73,100
LHS+Random,73,100
Top5Similarity+LHS,67,100
LHS+Top5Similarity,67,100
Max Comp+Min Comp,72,100
Min Comp+Max Comp,72,100
Max Comp+ODAL,70,100
ODAL+Max Comp,70,100
Max Comp+Random,68,100
Random+Max Comp,68,100
Min Comp+ODAL,69,100
ODAL+Min Comp,69,100
Min Comp+Random,71,100
Random+Min Comp,71,100
Top5Similarity+Min Comp,75,100
Min Comp+Top5Similarity,75,100
Random+ODAL,66,100
ODAL+Random,66,100
Top5Similarity+Random,73,100
Random+Top5Similarity,73,100
