Strategy,StoppingIteration,EvenlyStoppingIteration
K-Means+Farthest,38,42
Farthest+K-Means,38,42
LHS+Farthest,41,42
Farthest+LHS,41,42
Min Comp+Farthest,37,42
Farthest+Min Comp,37,42
LHS+K-Center,40,42
K-Center+LHS,40,42
Min Comp+K-Center,37,42
K-Center+Min Comp,37,42
Min Comp+LHS,41,42
LHS+Min Comp,41,42
Max Comp+Min Comp,40,42
Min Comp+Max Comp,40,42
Max Comp+ODAL,38,42
ODAL+Max Comp,38,42
Top5Similarity+Max Comp,35,42
Max Comp+Top5Similarity,35,42
Top5Similarity+Min Comp,33,42
Min Comp+Top5Similarity,33,42
