Iteration,Top5Similarity,Max Comp,Min Comp,Centroids_saturation_low,Centroids_saturation_medium,Centroids_saturation_high,Random,LHS,K-Means,Farthest,ODAL,K-Center,Random+Top5Similarity,Random+Max Comp,Random+Min Comp,Random+Centroids_saturation_low,Random+Centroids_saturation_medium,Random+Centroids_saturation_high,Random+LHS,Random+K-Means,Random+Farthest,Random+ODAL,Random+K-Center
0,0.028139670986625002,0.015467568119476898,0.0224823884164273,0.01749715208781458,0.01949591070683507,0.019997593359994858,0.019405641971245998,0.01937130515738217,0.024500260875600484,0.0161338266352339,0.0608721939849315,0.01584551704350353,0.019494015331135647,0.00909020520105791,0.00631000598678224,0.014501946117109268,0.01558837913534756,0.015481973109115449,0.015124981717485431,0.015412020423924592,0.00886877220531546,0.01721346933986975,0.009828363655827389
1,0.028029757881119395,0.011919614965635301,0.0533803496035105,0.01607225174915046,0.01800651071862063,0.01848827169639551,0.018923516973386047,0.01850056510652988,0.02437141464729227,0.014996333786359539,0.03261627425204538,0.015413662777615512,0.016890049173240648,0.00897415889261277,0.0068463194866332806,0.013319173359605169,0.01542124790534644,0.014117502964415751,0.012803580257124761,0.013002413423991952,0.007909332666836898,0.014303025029376928,0.008895357799884571
2,0.0316888627556317,0.010325738507697201,0.0377390743921942,0.015799236508381297,0.01868434749097623,0.018409113884217065,0.018552280078936795,0.01852210830901013,0.02269323779227444,0.014716059043127571,0.03181006071847622,0.0157383989268469,0.015325889426807428,0.00852170117500568,0.00759827425584015,0.01270589684510579,0.014799179364137688,0.01421124305209003,0.01212179989504023,0.011979967680835271,0.008298913508304012,0.0133795130303163,0.0090933596844454
3,0.031676854208223505,0.008486343583733,0.0331634813318249,0.016475012062039253,0.019033672104795406,0.01989856612662231,0.01751112354773321,0.018704005057853572,0.023623187741091525,0.01539214634308628,0.02975749521849173,0.014153829065051379,0.014712894304843576,0.00820160641331105,0.00705044062172028,0.011888642311361062,0.01264912778790144,0.013493472656771189,0.0117600398422436,0.010721637571953579,0.007819541646298531,0.01311789507008396,0.00911850662210665
4,0.0339932166224663,0.008341031544646499,0.0332775530776031,0.01873885628119224,0.01906260107837194,0.01884097537072978,0.01809944778583964,0.018314303405776798,0.023494902478980194,0.0147228030967547,0.028768099250378643,0.013081812492260942,0.014248513637353369,0.007650588640173919,0.00670756796035824,0.01004985214897399,0.012460625623561782,0.01247748803871314,0.01118706413998959,0.009900845589285032,0.00753901840037869,0.011018825196783098,0.00854622567750726
5,0.03576665445833121,0.008876339170014702,0.03123916201552151,0.01880268370662528,0.01861713533492097,0.01899050532555897,0.01815634744204493,0.017461655206103634,0.023583099198396816,0.014213569594293618,0.02745848751597289,0.01248618354313112,0.01457486390558129,0.007466399548889569,0.006600255942884781,0.00980186669806462,0.0118225025545905,0.01137240253932737,0.010380410189302889,0.0097541047866428,0.00730106013148808,0.00964425440198705,0.007767494433743911
6,0.03739632214827691,0.0083549723042418,0.029701230592271595,0.01934866375834922,0.01819785175737969,0.018592711638058267,0.01730044799233811,0.01721241265613469,0.0207858829929312,0.013973874120828862,0.02605171216094913,0.012282537244140471,0.01416009953009481,0.007275009873273179,0.00656260621664999,0.00919286785471364,0.01142400663181834,0.011163447341590482,0.010247609061626608,0.0092903403478656,0.006947215499647471,0.00889235028141647,0.00789937049946467
7,0.0332274721355465,0.008244457126465902,0.027075597345388995,0.02112901167260118,0.0188275383263046,0.018777845407914412,0.01726891100449245,0.017045381329476018,0.020073841255445278,0.01340344052583528,0.026576669836355177,0.0122977653392422,0.01412090372149089,0.007031705375485789,0.00648449985861653,0.008783843018558909,0.011123708922346136,0.011387959043502878,0.01008064820262614,0.009090263970924321,0.007402699916713951,0.00808800485466887,0.0076430741736161
8,0.0300218634848523,0.007105625136545999,0.0268474685627976,0.02147337956083776,0.019009690285796712,0.01916684142940905,0.017005624278755523,0.01801289129028611,0.02003146082250606,0.01338484529506644,0.026330793770536386,0.01168856207658307,0.013845133885457061,0.00676900443817742,0.00638674083405823,0.008655103786668622,0.010913926330673252,0.011329495238995669,0.00951633417324493,0.00885945540817042,0.00724614192277732,0.007837936907386,0.00760892834091456
9,0.029841960730279997,0.006099690185398099,0.026767535803350596,0.021012733662259076,0.01945397197520521,0.01946346722634556,0.0165895123809463,0.01830852614849555,0.020390300623997347,0.0137651750053811,0.02615907317933447,0.01125485870599922,0.01349956907985032,0.006283581456495739,0.006573551451522931,0.00837715710786346,0.011069831301432999,0.011409535181604251,0.009129668437401001,0.008223043449915679,0.007048444153558131,0.007600687983286851,0.0074207648015937894
10,0.027872607390755803,0.0059683100087745,0.0273274767391534,0.02091533929139084,0.019525130449316648,0.01969770219955225,0.01629748136630422,0.018165505095786467,0.0207801600211265,0.013463311872004929,0.02664438360251912,0.01117023229330157,0.013341164177864209,0.00606710285670356,0.00636389936013391,0.008176464508810221,0.010911899738071171,0.01119171479877203,0.0090402883835469,0.00796745131270622,0.007221140829345748,0.007341569711152229,0.00723463288416213
11,0.027157643007244804,0.0055005004882561995,0.027363430856219,0.02117598195768494,0.019182614186231312,0.01996616104420246,0.016208630949838737,0.018264033518543017,0.019261761200337908,0.013175424812340858,0.026895871152825723,0.0109361409328229,0.01273460344670955,0.005934961949738191,0.006124967184077901,0.00848479756147209,0.01088393960354106,0.01118273239626011,0.008955290766455319,0.007748364067172229,0.006950251992345549,0.007389419446576709,0.00693836659289053
12,0.026951096954722302,0.0050809409250758,0.026554166447376702,0.02137164409837386,0.019409992614048834,0.02004694923880456,0.01643446226357245,0.018135744297200114,0.0190540809865773,0.013257906661453517,0.026534986764857476,0.010538402374343888,0.011478202427456032,0.005785676313547741,0.006107714948911451,0.00818489058790984,0.01088830936010641,0.01109844505666045,0.00869548629148802,0.0075678956450877495,0.0066795318139296,0.007005981292457291,0.006572905034644841
13,0.025090591814192896,0.005040646917403499,0.025605789494634802,0.02161415659880288,0.019007359937792137,0.02004617866581622,0.01647377191912104,0.01807888207652003,0.01907053570590822,0.01270200208362875,0.026696965816311723,0.01049058495585138,0.011422227446461389,0.005584041173607781,0.005839808855657699,0.00776987578521367,0.01093687419135921,0.01122012465697372,0.00846299849683617,0.007572707901142251,0.006447086553072171,0.006576680051341601,0.0063969811903029404
14,0.024977049492490903,0.004833419348058101,0.025435245370008595,0.021686667315837356,0.01907665605006894,0.019916113360880526,0.016421109902745097,0.018165021642367163,0.017434661183720848,0.012496137473430948,0.026333361063523558,0.00969677734434443,0.01147894626065998,0.00541030836118391,0.005585211358174641,0.00783189363709794,0.010867136438639671,0.011106402498016772,0.008380376976724672,0.00740370278361481,0.0061506524321993505,0.00648212654363243,0.00619608960514296
15,0.025210882144767598,0.0048389280301218,0.025053652912491002,0.02123651759277868,0.01924010669821203,0.019879941068276417,0.01646011963447329,0.01841621786269714,0.017441946453995123,0.012418038575391671,0.02611454606844669,0.00948888047216439,0.011295721021728709,0.00511465265636888,0.00547709116620568,0.007767728302656261,0.010837255567837309,0.01112313287905417,0.00812263065529284,0.00724517384866859,0.0059590737768946,0.00619838979851709,0.00589751736975134
16,0.0250620393577759,0.0050819742239894,0.0242667696503312,0.02067269265986493,0.01899359778980587,0.019871486449082237,0.0164085365575852,0.0182150033232163,0.017412031293868924,0.01217185890157598,0.02605147716823339,0.00940665799654027,0.011455560129482699,0.00487760200295018,0.005396056938576299,0.00761034924446274,0.010885163238245222,0.011229713600983961,0.007982049492150789,0.007228333883315781,0.00577144386453095,0.005977125792720481,0.00581355744425255
17,0.025004971062690097,0.004973578144264701,0.024511004621165598,0.020782054644460313,0.018704455120113823,0.019883891067646608,0.01638496673370583,0.018180813581506465,0.017228850101141148,0.01193966169232292,0.02578554969743112,0.00921721027141192,0.011349337699963661,0.00480689043500774,0.00533292221629853,0.00748250073350169,0.010823624916735691,0.011190733472776021,0.00790944913542416,0.00710923664019161,0.00566506077707047,0.00589880151077098,0.005612124410848669
18,0.0258388790074236,0.0048595742229885,0.025174919407881406,0.020198838136046858,0.0189354121787916,0.019718210032177347,0.01643219484564198,0.018210969280407194,0.01704210143574086,0.01180226972950557,0.024788725912542824,0.00910159817891257,0.01119189174585854,0.00461762629715035,0.00530130558261797,0.00738084517807029,0.01066506501330093,0.01115879163244051,0.007900158644228529,0.007024100238457759,0.00546739905257011,0.00567811860724162,0.0055810507566364295
19,0.026245551224588708,0.004874431959454099,0.0248983075117982,0.020251845171955222,0.01892238694973799,0.0195649754418796,0.01634850409008274,0.01846175424082206,0.01680826388144014,0.011516384018510621,0.024809433181363992,0.00900579127579879,0.010995847950933581,0.00442846404680997,0.00517547220465775,0.0074116014246342395,0.010597961454601021,0.011063507987717292,0.00794282948046857,0.006952455647915551,0.0053052947636534195,0.005576856875974841,0.005387442595288109
20,0.0271080837643218,0.004707177892252599,0.023770532047459495,0.02009344093933006,0.01901649128266173,0.01958910081060484,0.01632249008663435,0.018395543593066603,0.01657239341364406,0.011462470771171669,0.024622642621999917,0.00905296099005518,0.010819304698501718,0.0042623818298922495,0.00506485712320409,0.00756136909008572,0.01037098768492216,0.010780550033323158,0.00801476732890383,0.006899462942398571,0.00527862584167145,0.005427211004224109,0.00534817298819282
21,0.027176161052874105,0.0047722557353959,0.0237652691150885,0.02007236878820106,0.01889614566385959,0.019444919174798493,0.01637013667721744,0.018241010543453052,0.016686808789007405,0.011115099702337001,0.024442445023260623,0.00901885985239879,0.010547871211496479,0.0040628404744265205,0.004613957934342831,0.00744040777504765,0.010364980050818288,0.01056939591934251,0.00791629312207668,0.006765922076387621,0.00515989284297653,0.00528420811028912,0.00531535699994491
22,0.027230587808609992,0.0044227052618477005,0.0234721675670688,0.01991271127807878,0.018778063669978938,0.01933242431441689,0.0162452183046545,0.01817822073599481,0.016497306257966738,0.0110390709381848,0.02424478968512248,0.008885178542525081,0.01048424479957124,0.00403118794800368,0.00452993540329927,0.0074778757231036995,0.01033658606237408,0.01047730119634219,0.00786270788312358,0.006727639388073201,0.00515156207969191,0.005158988562249769,0.00516977408524434
23,0.0271018420642821,0.004140672823096601,0.023282214725378104,0.01972625555141901,0.01872721321280489,0.019278773499342268,0.01614130146097996,0.018155652972088647,0.01647863650104579,0.01107910804818232,0.02415729803223659,0.00863434841090404,0.01039167674566771,0.003931179038534979,0.00443507752032023,0.007422681468449441,0.010281683417901399,0.01018729581469337,0.007787148381650918,0.0066715279494073704,0.00507508280096056,0.005000579691030689,0.00502681862205954
