Iteration,Top5Similarity,Max Comp,Min Comp,Centroids_saturation_high,Centroids_saturation_low,Centroids_saturation_medium,Random,LHS,K-Means,Farthest,ODAL,K-Center,Random+Top5Similarity,Random+Max Comp,Random+Min Comp,Random+Centroids_saturation_high,Random+Centroids_saturation_low,Random+Centroids_saturation_medium,Random+LHS,Random+K-Means,Random+Farthest,Random+ODAL,Random+K-Center
0,0.028048128535212595,0.0181898612736128,0.019018480551639298,0.015518308646851909,0.021149828984029128,0.019722160180116664,0.01381873044912019,0.02610415110362809,0.013915832230217163,0.016981328619184312,0.03480719971317803,0.017518584739238688,0.008415521200895951,0.00933708501671188,0.00758681285441797,0.00989456498465487,0.010562577475675801,0.010263775104068071,0.01049352902553939,0.007191071572748652,0.00934837271005015,0.009426169842431541,0.00977390313660612
1,0.017547815464715795,0.018659436445854695,0.018505674394745996,0.0128331227334462,0.016780414043295104,0.0156620944403489,0.01253185708074151,0.0256912706936027,0.01397684377376443,0.01634349160769692,0.0314291192156213,0.0159976931226106,0.0076394529334694,0.009266102667331352,0.007416173670483389,0.009298866027094132,0.009846366726533851,0.0095859372641442,0.010376882410707642,0.007481273172782549,0.00884344154699552,0.00934817736409433,0.009558769696935239
2,0.0138971388663435,0.012263473171392899,0.0151690300466624,0.01309917766339643,0.016466883656384327,0.015768053914834018,0.012842944536672849,0.02361927213263256,0.01461875818068506,0.01546042248597648,0.026963836507706902,0.016063803964130572,0.007776273928792821,0.0080965473452034,0.00690480530713874,0.008974065219987112,0.00939341533212867,0.00935182084262763,0.00975955311433452,0.007563017084694789,0.008564298646680218,0.008529801887731541,0.00856289873052668
3,0.013913490522977499,0.013057328014114102,0.010933497940149198,0.010534091769493409,0.01363477112585213,0.013508382676274053,0.012458347883763082,0.0212229340415648,0.01401491427793189,0.014010643711996992,0.025846976668348332,0.01444210998397125,0.0082171381929681,0.00805739802663303,0.006376951800824838,0.00787587082305608,0.008267631152620719,0.00875471065914977,0.00917561521501593,0.00759812161140648,0.008461550542597089,0.00814080371853665,0.00856509310567174
4,0.012011818418532398,0.013038766991790903,0.010785786347278902,0.009969119478492012,0.013091192838611241,0.01294339140171652,0.01145715868735154,0.014537884779920901,0.013291789270527548,0.013961652089309528,0.024798057104061712,0.014538623224890829,0.00791392140360951,0.00809662429332364,0.00614098164729093,0.0075752852480149594,0.00805295901718489,0.008539240431902111,0.009120414197422011,0.007421782941592442,0.00823928898072054,0.00799376188291847,0.00844482231263462
5,0.0160034190326554,0.0115534015795265,0.009761920139113502,0.009852422287707718,0.01278969798273144,0.01286743054554044,0.010863097634255789,0.013587009682252998,0.0134033267756751,0.01394673427011637,0.02443960033634087,0.013403193352684339,0.00836525518896291,0.00788742237321033,0.00597917677414113,0.00721868650367404,0.00805166796629638,0.008356004994227891,0.00900604840802814,0.00743665873276225,0.008215914212388561,0.007943151502561531,0.008465004262991809
6,0.0160299087071788,0.0106131129163486,0.009350885727418901,0.0096912688204563,0.01255355903950997,0.012809519985538762,0.01087698976320096,0.012882238291615871,0.013263467389352421,0.01370712111748788,0.02418035667227639,0.013185152294751317,0.007915407174376329,0.00782153592558015,0.00580347859969297,0.007086192044221701,0.00748433051568113,0.00806367254298854,0.009009333679801858,0.007312846474693979,0.00818153965543763,0.0078635204546913,0.008372921080139041
7,0.016082762501327095,0.010696566486261399,0.0078718694658738,0.009619305442444308,0.01222808875812523,0.01351311095965999,0.01087619540972145,0.012191192346502799,0.013124065432439611,0.013790399445810031,0.02390717597302259,0.01338810451791809,0.00788625041899358,0.00758177770233766,0.005771382598409159,0.007118111561702729,0.00719394010162038,0.00784274333881256,0.00897324821923193,0.00708931877867403,0.0078758152013493,0.007799513802574949,0.00814761815142795
8,0.0151418216347361,0.008267118483459,0.007813993157332099,0.009913065645310951,0.01214265463081909,0.013376233486309421,0.010163499358559609,0.010310132619568169,0.01239097840509842,0.013061192693839657,0.02344687833632434,0.01320330722541535,0.00787017891429551,0.007452635080480099,0.005707125306523769,0.0067775939354994,0.00733195145212003,0.007940790995886909,0.00896890694615689,0.006991113033630139,0.0079325598803359,0.007799417217116448,0.008015588105392147
9,0.0154590415565313,0.0082078554501783,0.007755803776090002,0.009982076553488,0.011520111761940332,0.01335113661688693,0.01004919527008953,0.010290643517621188,0.012138251582136569,0.012927878107287802,0.020487392224692463,0.01293169278046557,0.0077947941391795,0.00743961062817268,0.00568359220716195,0.0066518632508392,0.00733307741837212,0.00810094647590465,0.008870913505612161,0.006957068936888411,0.007811741034355731,0.007672142120780512,0.00795680317828781
