Iteration,Top5Similarity,Max Comp,Min Comp,Centroids_saturation_high,Centroids_saturation_medium,Centroids_saturation_low,Random,LHS,K-Means,Farthest,ODAL,K-Center,Random+Top5Similarity,Random+Max Comp,Random+Min Comp,Random+Centroids_saturation_high,Random+Centroids_saturation_medium,Random+Centroids_saturation_low,Random+LHS,Random+K-Means,Random+Farthest,Random+ODAL,Random+K-Center
0,0.0723435405551931,0.0750459309786604,0.08161654610058168,0.05537864786231852,0.056981195816462736,0.05795691642486554,0.042903567302869094,0.05410412212170131,0.05492913525187907,0.028863797122072272,0.08392060869392029,0.028928619429762176,0.030337428754375832,0.024984346563564706,0.031889920504988775,0.02709215139375673,0.026222323206537605,0.027629395424732278,0.025895903893917622,0.03456583023274114,0.02334307719222354,0.03121214002701355,0.0244798384175943
1,0.0473018442127462,0.0285038027883898,0.021575637939586,0.03566128308105241,0.03393741313416014,0.03617827472707585,0.03541508564563244,0.04349448844988343,0.04992591400182271,0.028318031477442974,0.05460693575198514,0.028019624359525503,0.02552434604440425,0.02225746694974319,0.02514831387043879,0.02476563436052568,0.023895503021727,0.02569136417544631,0.02210148024558009,0.030486683820528448,0.02375906833128561,0.02429413426704071,0.02365789884495969
2,0.04113781412948591,0.027275667179007902,0.0229465359683203,0.0325148919602616,0.033052277135290034,0.03465821321941423,0.027201950159606296,0.03169065612562473,0.048039857864720995,0.027656921722954503,0.030539299427933847,0.02741312226465244,0.02367740345410126,0.022913805001733102,0.02582090446441812,0.022951578585921707,0.02302478611712141,0.024785614681663726,0.02157380045211,0.02327762182234241,0.02407492164155751,0.024231268911205472,0.02357001595599764
3,0.0405174711421794,0.0218645495293118,0.0257029459548822,0.03526197212458777,0.035946667771654346,0.03668135207588012,0.027787896885494944,0.0316512493483592,0.04950703808620073,0.027833103108476163,0.03236425437947727,0.02658344523178362,0.02385725874198191,0.02311421190734726,0.026539767121754175,0.023233078806518502,0.02312785158237913,0.02412692443042424,0.02100152565686314,0.01976158232062693,0.02445677814248936,0.023856349884489182,0.0237984126820796
4,0.039666149304584,0.022091091835340103,0.0300660575559058,0.036114941205529355,0.03645386087989583,0.03674567558815435,0.027604021115879597,0.03163104102902832,0.050048700120621924,0.02769611871320592,0.032837982823644765,0.02677463469062283,0.02517669939297578,0.02406161884544419,0.026535706807803976,0.023565275883504183,0.02380278803688323,0.02453081082508796,0.021350774749640623,0.01892572269930549,0.02411484670567397,0.02433597084657117,0.023405455399546072
5,0.038553390149240994,0.022046348579021498,0.03285337151698049,0.03689805135652548,0.0367523810580475,0.03635760406904639,0.029140215829475357,0.03206855330096815,0.049473440839638144,0.02684244089357713,0.033182969632652506,0.026816281053816317,0.025523153728216702,0.02404204269376661,0.027768473576846087,0.02373342006727336,0.024140357671162314,0.0247097211356535,0.021591326952873937,0.01901700267838447,0.02375188941363615,0.02477044796514848,0.02438446534982813
6,0.038381131575403196,0.0225848943206049,0.031025704016886903,0.03627662910765921,0.035657559969808905,0.03642165457223811,0.02989608044600489,0.032144918660296465,0.04939116635794315,0.0269925693732878,0.03385292397761176,0.027451626035553466,0.025729015282374902,0.02401705781433739,0.026372815276569463,0.02405406469525325,0.024326607339272322,0.025124788221943077,0.021710105285344453,0.017459651167657624,0.02396625128612758,0.025027716418113514,0.02420331192303566
7,0.038565542700976604,0.0241905580808788,0.03329835114604661,0.035710797207919164,0.0347642032300362,0.03632009899725316,0.030570928965525178,0.03234962243842427,0.040837662572121326,0.02668456825796458,0.03415950950082746,0.02757486690267789,0.025493036635954668,0.024029452584487642,0.02628846241757351,0.024194666868240823,0.02478432932727866,0.025510461520071588,0.02167603665150175,0.017121612810939813,0.023207460105557656,0.025550738660146705,0.02351205780273007
8,0.0383855355244837,0.0236530714326306,0.0312849589709862,0.03576076492413943,0.03536467746740233,0.03647387448920868,0.030614059239363205,0.03208213571252423,0.0407992605737509,0.02682748749027188,0.030820231631819628,0.026885155793574422,0.025662849567797397,0.024142616156779623,0.025156753176306453,0.024350168340302902,0.02461631543820084,0.025225708512061663,0.021824236901108712,0.01590534139514464,0.02205255335278225,0.02578568727849801,0.023193160458454327
9,0.038451311203584596,0.023501580017086698,0.031176223873104904,0.03348676763640901,0.035796368831534434,0.0365054575482786,0.030905461268727834,0.03253221018886426,0.040461911725773334,0.02671229400991702,0.030544492274159712,0.027001311251857396,0.02586160481729744,0.02402863972577585,0.02450856789731978,0.02119988683395635,0.02415745887191842,0.025047897987098593,0.02142419175414863,0.01515746569597474,0.0213985249708738,0.025636555110498598,0.02268614570973717
10,0.04096600975473551,0.0235364781823702,0.031237192451095,0.03296501488618937,0.03678694532731717,0.03670883257651223,0.030443940190494245,0.032364022468895484,0.0394884479909133,0.026828755990512237,0.02842321744085361,0.026665028385447386,0.0246847786701182,0.02337532105973629,0.02313801275471087,0.02080555290159224,0.02221626903239569,0.02478946684928276,0.021383630199376807,0.012636790966612101,0.02045102420714382,0.02496466137118152,0.022238925205138118
11,0.041415476114113,0.023358224776119204,0.03155764056711761,0.033353349410855104,0.03565368288552461,0.03672069260535278,0.029955123500339898,0.03257552849923793,0.03878233649692076,0.025721792975524627,0.028742768282193992,0.02578538112147501,0.02417068105654651,0.023550238104476005,0.02253851397273262,0.01949823195999463,0.02230096495952754,0.021894566778493153,0.020940370135022993,0.01208612961833968,0.019709067229031242,0.02450626585699384,0.02008627593248414
12,0.040182311222674696,0.023372191528176996,0.031456828793601795,0.03100738633752132,0.03437916471369123,0.03601271274086883,0.029939921026326366,0.030851672607343106,0.03850115694671043,0.025805589125529087,0.02874162684211376,0.02558700136561074,0.02412103665413489,0.02360619515338355,0.02177189127397274,0.019136776856611186,0.022038160136036898,0.021571051401083282,0.019938030916500427,0.0117722940833861,0.01906751732213793,0.02496980689186673,0.01909521769159987
13,0.0401871459779628,0.0248461455224043,0.0263160046302982,0.030632576675628964,0.0339825119305037,0.03599611356679813,0.02954600461901751,0.03117652179313511,0.03833881411434824,0.025090070850293633,0.028482312168048224,0.02556231972190185,0.0243169636572746,0.02236977517221443,0.019885561915172167,0.01817303558110564,0.02154740531717247,0.02108283063668885,0.01949301924820064,0.01084883540361031,0.018767216471247856,0.02280510825658349,0.01782752454897012
14,0.04044849829894181,0.0245264339820466,0.0194118632750411,0.0307056976752433,0.033781966539201055,0.036052456313184815,0.029495472451054622,0.030975827562673496,0.03817533585101893,0.024635794182477612,0.02854054882654446,0.024674719102521288,0.02368376622155431,0.021056017432215208,0.01929792138687305,0.018012930357290353,0.021254644877116948,0.02090416074516004,0.018763440763855898,0.01054128908093846,0.01812556492322711,0.022586869037246084,0.01661096019908451
15,0.04054406714580121,0.0244082810453933,0.0141200581160521,0.030558486531179853,0.03370750028500387,0.03610509079771386,0.029473122361064464,0.031183159528510702,0.03800812129410796,0.024331990541313023,0.028516192039726114,0.02431900059576268,0.023299453521371617,0.02041274945864582,0.018913689952779658,0.01790091909487188,0.021029641466977,0.02067253772855252,0.0187013121878142,0.00974834783500764,0.01743678453757495,0.022039834850239783,0.015923448403579257
16,0.040526672573869306,0.023718497133833897,0.014111617840170402,0.030476453932193587,0.03374495777056789,0.036135171780618196,0.029072997578137128,0.0308013878620561,0.038169829291992155,0.023551558122933896,0.027604026865780163,0.02348860074290324,0.022751151194911903,0.01994070512669229,0.018316165561870247,0.01720708955675746,0.02055425423373012,0.020799255599834594,0.01846531391907584,0.008934664829251579,0.01712021591001508,0.020420441723040535,0.013942998687829203
17,0.040528827969283594,0.0234814163711152,0.010425179062351799,0.03047348637966969,0.03355798718254319,0.03618960938114922,0.029157445264450476,0.03042328723820254,0.038028044026850304,0.02253938901777296,0.027093781760096032,0.02273811602901052,0.02218671662730459,0.019631722198434863,0.01761661183439479,0.01657692495954865,0.01997283148447628,0.02022426434055582,0.017919080140724943,0.008376879242386379,0.016505970999101376,0.01983033441561421,0.01300102211369904
18,0.0401367203759519,0.024295151329785904,0.0102321135916731,0.027615920658426017,0.03345125321948035,0.03635997586898724,0.02832796344667895,0.03072906175569155,0.0375792683944398,0.02169355593907815,0.02695864878211718,0.021977347482229688,0.02221456539584995,0.01908614390922532,0.017422085213435103,0.016068888779329483,0.01936510626719929,0.01984010745060288,0.01693028285632524,0.008074920418430512,0.014979757238135391,0.01896045929403089,0.01241853060535102
19,0.040139580307867004,0.024205897383606297,0.0099206212579922,0.02478229003233231,0.03338409477808954,0.03640305529357465,0.027991044622995016,0.029826773831533388,0.03757565148097507,0.02082516228590913,0.026850039379818492,0.021353584597429906,0.02197796944632002,0.01872470107624123,0.017035646702935524,0.015954760919478922,0.018887397293599943,0.01964503393269628,0.016320656888336022,0.00753275587415634,0.014586693812350032,0.01865971442622182,0.01192122547786095
20,0.037571858394498794,0.025546539243103204,0.010102572655723502,0.02465598251841371,0.03303544668063491,0.03612608520933419,0.027584063518310296,0.02957418849907984,0.037488336851306106,0.020257357870321988,0.026410617363624173,0.02040003044716981,0.021450928321034218,0.0179193194990769,0.014093422537523891,0.01567918201727649,0.01876748493345575,0.01943698166998874,0.015391591640728054,0.006880761075738939,0.01413132765737351,0.01828415084643669,0.01158133528549363
21,0.036899939374580595,0.025494706498880103,0.0100364889831816,0.02429534564995202,0.03287130532326677,0.036100135259611726,0.026860263956531384,0.028665751763914914,0.03750058864064329,0.019858686424043055,0.025338731939875753,0.0178706409697651,0.019966837362341262,0.01760475148342299,0.0140630687656145,0.01565612158141175,0.01850394587814181,0.019337212443918887,0.015307582280041601,0.00656435215339866,0.013490328122084741,0.017962757601111882,0.011399437967476379
22,0.0367979426910029,0.026689374017899108,0.009584264078885798,0.02411512963809013,0.03282944362374196,0.03611378969727611,0.026631836125567448,0.02771747312058979,0.03752281008507262,0.01946594424770808,0.02497451548524196,0.01673219488795048,0.01929807911758798,0.016054049749766357,0.013886695896094592,0.015592903393505959,0.018293685831325648,0.019128199197148515,0.014820622411684529,0.006289107969494359,0.01343260392725582,0.017643271595465863,0.01101007077456015
23,0.0366908704907476,0.027585462926528297,0.009109134652147102,0.02372410952729078,0.03266210330389666,0.03615236822326518,0.026596256296147803,0.027557924344136453,0.03750492418189579,0.019238435989212148,0.024816363488648602,0.015722542081506,0.01854870343170647,0.015627109493642332,0.01375964037669311,0.01522369742776323,0.01789939109331594,0.018982058488689352,0.014425188187048632,0.006081732447290009,0.01325602000862117,0.01754681491146522,0.01087470402955019
24,0.0374567222186511,0.027496457358752703,0.009162285944653698,0.02371569723386322,0.032689952634678845,0.03618705275524901,0.02651666174627822,0.02690520890114371,0.03743467996621237,0.01886347217520739,0.02428039921279585,0.0152420157872624,0.018456277192462272,0.01496719462559103,0.013490483708735082,0.01499427534420771,0.01774528820351777,0.01886371334446085,0.014203116132789021,0.0057831385476797,0.012973624761246621,0.01693128329310395,0.01070887657198331
25,0.0373209074468857,0.027123410680550693,0.009176106403549501,0.02362677819283105,0.032804326451938856,0.03624627529108132,0.025852090354015873,0.026399077260700527,0.03728830978040535,0.018621582500058673,0.02406327123040824,0.014833000627359389,0.01814857315239466,0.014757229096015368,0.013172630469399921,0.01474490485016979,0.01748575668155027,0.01846015405103456,0.01395129824603602,0.0055380904433555995,0.012796445457965691,0.016823869991413408,0.01051463683624056
26,0.0370743058670694,0.0261260351505088,0.008626326836116699,0.02360133347248667,0.03290529146906297,0.036100037274737644,0.02532605399707974,0.026279189224192374,0.03697516637419356,0.01845401240304991,0.023987840934335123,0.014552138595567272,0.0179792993574871,0.0146365628643871,0.012827893655812573,0.01462639511306261,0.017355230934909753,0.018259531523314287,0.014026975678045742,0.00537731432789675,0.012748246109803948,0.01673954578755531,0.010274285567286422
27,0.0369284423925621,0.026701395882615893,0.007063970259206799,0.023325049407242004,0.03264018122823943,0.0360792522726756,0.024220280492929503,0.02619705966320316,0.03681463050194795,0.018281157776815302,0.02386159043346174,0.014294443729236758,0.01789149413803871,0.01422232097573097,0.012680295427973401,0.01459495451425566,0.017136447978724486,0.01825628517528383,0.01371744896047152,0.005282208971900299,0.01256635065546306,0.0164746512684535,0.01000860656865015
28,0.0368690508621311,0.026635651629841904,0.0070929603773603,0.02327934602736841,0.03266425125768711,0.03606005380827544,0.02388895086695505,0.02595147287025702,0.03716048591682316,0.01792580570458337,0.02351083692244913,0.014150729861327049,0.01755359759877038,0.014100615806150161,0.012577257786762618,0.01449875724214943,0.0171531766753429,0.01813690385305487,0.01371239943508376,0.00506744723285956,0.012354547222489142,0.016434741378277377,0.00971939749510248
