Iteration,Top5Similarity,Max Comp,Min Comp,Centroids_saturation_medium,Centroids_saturation_low,Centroids_saturation_high,Random,LHS,K-Means,Farthest,ODAL,K-Center,Random+Top5Similarity,Random+Max Comp,Random+Min Comp,Random+Centroids_saturation_medium,Random+Centroids_saturation_low,Random+Centroids_saturation_high,Random+LHS,Random+K-Means,Random+Farthest,Random+ODAL,Random+K-Center
0,0.09363477279815148,0.04304156116441699,0.05258281093066451,0.05516226499074213,0.06884728013732508,0.05946617868398305,0.0442496269679995,0.05282682918495359,0.08142645942525925,0.03187685320408411,0.10574350715787026,0.03322787174773759,0.03931830984766197,0.02553032401798942,0.015049351158697693,0.029777553643897565,0.02993188632318915,0.03181235637278276,0.02356329294361869,0.0358158827282103,0.01658846871178938,0.03671396566711889,0.016820230683678442
1,0.0890307451615918,0.038505077828676605,0.024821180536010297,0.03545474059602437,0.0512097336802166,0.030933874158798023,0.03653746870163795,0.04757656887567703,0.06172441090897367,0.03275559614845761,0.07162446904154286,0.03282479951196464,0.027738369961864667,0.023510897104343162,0.013962378286435869,0.02092071994558062,0.021143837300833312,0.022462291094336388,0.01862657466086349,0.022869627555370718,0.015941069904891293,0.019854345204376764,0.015273831364041748
2,0.0937997890525444,0.0355810059164694,0.023543196682705905,0.025361537495409498,0.0408291874366563,0.02929405099100501,0.029357101175429324,0.0447754605290613,0.050143386058144016,0.030336870456470127,0.05603287218104118,0.03232147381515179,0.02670410654892457,0.021572752162334414,0.013079905534035749,0.01802481269274412,0.01850253125993439,0.02149361747885618,0.017743878211094313,0.019514803164409872,0.01456697820492627,0.016477554541614307,0.014107748571895517
3,0.09310730875749261,0.0371749525503099,0.020503718788673405,0.022527177594350238,0.03924004757118669,0.02894953202901145,0.027813948361726286,0.044191531793979874,0.04541856768880639,0.029392721027839165,0.050890139314339035,0.030942660863976144,0.02372517612410751,0.02083305465199761,0.012467376157549791,0.01735844762989963,0.017763513677457897,0.020013475448802533,0.016352842809711658,0.01858327083623474,0.01403522426658261,0.015400375917156409,0.013260464530088018
4,0.09500799834993039,0.03504163255596831,0.020711988182305404,0.02281237668014968,0.035876380894064724,0.02962720001027295,0.02576937431395569,0.043577921720494496,0.04569535325039621,0.027771165200436355,0.04814819464334305,0.03094115731176155,0.0195123903725813,0.01943826158007558,0.01212704680141724,0.01641757251381241,0.017589023500872634,0.0190206132644515,0.01411134754107698,0.017362224923838238,0.01227317197857795,0.01497464302561897,0.01296877374801943
5,0.09586546659081709,0.0349556836403186,0.021709361691337102,0.02179557186979032,0.034319762937444334,0.03079887518673551,0.02565185674344535,0.04212484865885084,0.04465004661308924,0.026788587750260794,0.04232340570164413,0.030596712732926933,0.01848381254678022,0.017317906145764762,0.011949563024347272,0.015636986645321333,0.01708312249015826,0.018037981529348983,0.012894096856639493,0.01694874435717306,0.01166999094971229,0.01498493526650039,0.012681699533704679
6,0.0955524149748893,0.0348722647231336,0.0216893945785655,0.02184356287979496,0.03445482531002527,0.029184643435568747,0.026048446416473952,0.041439974878712524,0.043728254546434954,0.0258356576455148,0.041774585184143134,0.03051361314823848,0.0179345675289248,0.016868198870861308,0.011780545760109232,0.015568342509761551,0.01566166500239376,0.01553426532138189,0.012695989018178668,0.016752744071067006,0.011177827249764422,0.0150437145621928,0.01235166449079032
7,0.09354554405462859,0.03342769290918301,0.025483132625531306,0.01964397819210744,0.033181837869621034,0.029366214680276326,0.024020766439162684,0.0409749997468958,0.043348969953842936,0.02523716032077562,0.04098909463360972,0.029527271083294608,0.01785959348551271,0.01622635560431194,0.01137990123293383,0.014836185726279922,0.01434764866224702,0.015409270270133562,0.012404183330099941,0.01671314821315202,0.01068034102524348,0.01477929115955946,0.01141707666800276
8,0.09259994015278919,0.035906934952449,0.0248513436210579,0.018505416475844437,0.03201443776017606,0.028955254958235494,0.022564834466654703,0.03597997680196232,0.04328070002955248,0.02471366118569716,0.041174469856931586,0.02912637881585458,0.01749442188671542,0.016386474594932136,0.010398864865821447,0.014211807520507796,0.013034222061630202,0.01466312589748238,0.011937399507558259,0.01578707417583673,0.01007991397193863,0.013925778183480059,0.01121723977071338
9,0.094408279865573,0.0332131780213053,0.022053663855572895,0.01813811599753265,0.03133823976523748,0.029047294796997192,0.022790667720753038,0.03271993509031297,0.043218227293693914,0.02442292849702373,0.041155374447988294,0.02888290176389179,0.017015519401777257,0.015263981147607051,0.009834343969756862,0.013136683936971118,0.012708353279806298,0.014329126806293682,0.011196310705700952,0.015580487754074262,0.00972140466660793,0.01372333016165642,0.01064684830460315
