Iteration,Top5Similarity,Max Comp,Min Comp,Centroids_saturation_medium,Centroids_saturation_high,Centroids_saturation_low,Random,LHS,K-Means,Farthest,ODAL,K-Center,Random+Top5Similarity,Random+Max Comp,Random+Min Comp,Random+Centroids_saturation_medium,Random+Centroids_saturation_high,Random+Centroids_saturation_low,Random+LHS,Random+K-Means,Random+Farthest,Random+ODAL,Random+K-Center
0,0.28129645648065044,0.10333505172334753,0.11098351220410121,0.08137457833563438,0.08202391070417908,0.08511857232979235,0.0811088938885787,0.0934892087314135,0.0681609970568125,0.07800942682797964,0.2517644299303422,0.08447593201447531,0.07225085305325218,0.0429157725626159,0.044700648811600255,0.046712055933770986,0.04636497582337007,0.04313430316561962,0.05286808279801736,0.04272830427485739,0.04377464342695814,0.057513931101869864,0.041718902353572056
1,0.05949628591354951,0.06335539396647681,0.10422525862963608,0.06929375155497207,0.07044156244421843,0.06800764669883153,0.07352415325528175,0.07777302945684081,0.049653481710006706,0.07134312631093939,0.23159314488885108,0.07834272218125601,0.06890902700509877,0.03131907477934155,0.03488508011928025,0.038767990125439286,0.040713494238202134,0.0385550231019557,0.048439678656273695,0.03697086961250741,0.03703523112149329,0.04701836032996236,0.031990760779337185
2,0.07348604451906118,0.0583609316069411,0.1041328401476053,0.0645000981494078,0.06443166079971592,0.0631372791776614,0.0677105764609826,0.06431468067896745,0.055952048847398794,0.06779078514152612,0.20497023370490103,0.07358893286224487,0.06641283129516343,0.026148742638225243,0.027628550966589865,0.036490783543316654,0.03867663712052146,0.03644994463973451,0.03821977526649755,0.027825778474549156,0.02970662154158506,0.0428502952619521,0.026936857120344958
3,0.0674378906077906,0.0497675433951037,0.106419996647489,0.06330951801906502,0.06344325819784048,0.06166908178535848,0.05988165282757866,0.05943856495456956,0.05489939349855575,0.062155523320958715,0.20775953643464437,0.06869761721209924,0.06205822128968567,0.022353975331688862,0.023872930316957912,0.029505979212490013,0.03164348195258105,0.033579106156035994,0.03398620055959194,0.023983458437931586,0.027555559124265487,0.04009997204811586,0.025340875531132435
4,0.07281430729929399,0.04608456865875949,0.10638938773833809,0.06233609187441993,0.06020516974632049,0.061937050394242146,0.055938418334480225,0.05937440290919639,0.05467829485816025,0.061358236585676275,0.19580406082895727,0.06368835526793154,0.06303870184207705,0.018845680781910464,0.019728223515328623,0.027835469952111856,0.02445503059981356,0.028687234396638,0.032297369032516975,0.021632789975040388,0.024734643270488098,0.037968122516285695,0.02358447119752378
5,0.07207289942674358,0.0256516683800043,0.1066499250896101,0.06705042963403073,0.06547759284105555,0.06277499232077086,0.05478328804772446,0.058423136645162244,0.05330299668760232,0.05990845328948441,0.17754728368455566,0.06250463042292172,0.06104228505902343,0.015151655564959588,0.017915330974309418,0.024566877813516564,0.02167591204206,0.02522616228749342,0.029079561518184794,0.018782300887892584,0.02315287992292582,0.034897210820881625,0.02195359848464071
6,0.0871665121225078,0.025044387995346702,0.10691651138985872,0.06695065898952825,0.06512275825944565,0.06309733788476812,0.0542669437829386,0.056778148786996586,0.05091013992689679,0.05765701173270292,0.1743088832676028,0.0629819571277653,0.060337773452967446,0.014080806252627812,0.01573624820925692,0.022227078486848573,0.017794567345301483,0.02279296246011216,0.02783040575010145,0.017250516405040623,0.021232167813227478,0.03286870189010825,0.020300977570111543
7,0.08472537426020268,0.022363620425780998,0.10654039236309401,0.0622704440303679,0.06547473170563148,0.06346184543611909,0.05348165958269213,0.054353161636008694,0.04789302303256789,0.055421820522266775,0.17460775383634453,0.06313069874318292,0.05868764899929113,0.01324814310327494,0.0137520392307803,0.019232095890664058,0.015783645700288767,0.021152831988238013,0.02643614205877739,0.015372122687116779,0.020199113803497287,0.029569714281393093,0.019679050011398618
8,0.0846444795001713,0.0190030995280322,0.09643839525597589,0.061823302829085755,0.06574108090005196,0.06288296243008532,0.050300592957770465,0.053332153533956095,0.04720548487163569,0.05278164290029813,0.17874076541485093,0.06069424538725639,0.058382093021665846,0.01266319270092962,0.012795037151762648,0.017803241629715312,0.014482091052043958,0.01946267921662659,0.025522770682928624,0.01419101286749003,0.01924507960174226,0.027576667446214682,0.017205904085850487
9,0.08128021300195089,0.018332007536912897,0.09141408522015738,0.060905415881467626,0.06556932468684605,0.06169834986294155,0.05039865444595195,0.052897614965643026,0.04730310947067989,0.052602554332882044,0.17999716959037138,0.06035922081390457,0.05832321901833365,0.012486503769979162,0.01212135096612645,0.01703495018912726,0.01399877755847046,0.01891226094460534,0.024948583672216758,0.013648050173981722,0.01898952149172995,0.027404798043407556,0.016536815117889347
10,0.07402527028756749,0.017919934734630195,0.08343632333204551,0.060520461056970246,0.06504541509142256,0.06138785456863318,0.050223337713745694,0.0528831790490038,0.04698388515445275,0.05229988110282326,0.17654893282497536,0.05933595511201519,0.05838018786642009,0.0117082425804125,0.010980714674874981,0.01601550448271801,0.013214054103303018,0.01727099819082861,0.02344706317430958,0.01316139422932035,0.01878718434880162,0.026592126743007198,0.015445381253652867
11,0.07421559473779818,0.015107271293081804,0.08340878360575178,0.05071626768479189,0.06551110046672545,0.06093857062851628,0.05029681334528,0.051990496805520495,0.04619239749036928,0.05132740109445044,0.17520917176337827,0.058969113907068396,0.05816773635119714,0.011200965413974228,0.010437749021078581,0.015581293906093908,0.012533062589683109,0.016717691904904027,0.023065907255547722,0.012458222492446429,0.018461602011898358,0.024851363206182957,0.01469040502707907
12,0.0752459288695093,0.0139989077879818,0.0830582867963786,0.04981896827378197,0.06549284822305043,0.06073546941782104,0.050299695268181475,0.052368497105793964,0.04590270872849088,0.05031675836358349,0.17366061699210344,0.05807486260449566,0.05808748678408615,0.01074495168239901,0.009922634668797219,0.01491379267945521,0.012061667460651999,0.015700984408736532,0.02250752134763946,0.01196734097510057,0.017999774943335177,0.02378028338626939,0.0137988608072788
13,0.07528249536059392,0.0143788934708442,0.08326842337007041,0.04909814364677716,0.06575805457036743,0.061101659690055196,0.04970083294116749,0.052050623691032125,0.04594460656557846,0.050244390749011436,0.17319416935689239,0.0584088974766566,0.057457765377664685,0.01014025652409277,0.009408641677619848,0.01481885791465507,0.011847476257859372,0.014830971212392168,0.0221722711038113,0.01139183662551822,0.017700683498697512,0.02344188747136072,0.012936740385874381
14,0.0760769138116698,0.0143456326553707,0.08184322642111598,0.04859748382758462,0.06558450978743792,0.06125851741802735,0.04835675159453935,0.05202233711768285,0.04600946109783678,0.05079589857044477,0.17143851502390506,0.05744888278719915,0.0578240403916505,0.00983404302022831,0.00879191174463264,0.014325016501974838,0.011497266237111229,0.01432184766861149,0.02184632789578083,0.01081053467091819,0.01711398346006313,0.022543567169055777,0.012813380514462439
