version,cluster,cx,cy
Saturation_and_Contrast_+,1,2156,1280
Saturation_and_Contrast_+,2,1815,855
Saturation_and_Contrast_+,3,2061,989
Saturation_and_Contrast_+,4,1679,670
Saturation_and_Contrast_+,5,2273,1444
Saturation_and_Contrast_++,1,2135,1185
Saturation_and_Contrast_++,2,1960,884
Saturation_and_Contrast_++,3,2270,1420
Saturation_and_Contrast_++,4,1609,1501
Saturation_and_Contrast_++,5,1776,665
Saturation_and_Contrast_+++,1,2183,1326
Saturation_and_Contrast_+++,2,2047,1082
Saturation_and_Contrast_+++,3,1926,795
Saturation_and_Contrast_+++,4,1671,676
Saturation_and_Contrast_+++,5,1601,1465
