version,cluster,cx,cy
Saturation_and_Contrast_+,1,1698,1394
Saturation_and_Contrast_+,2,1728,1243
Saturation_and_Contrast_+,3,1676,1494
Saturation_and_Contrast_+,4,1757,1112
Saturation_and_Contrast_+,5,1771,916
Saturation_and_Contrast_++,1,1702,1363
Saturation_and_Contrast_++,2,1724,1216
Saturation_and_Contrast_++,3,1676,1498
Saturation_and_Contrast_++,4,1678,1474
Saturation_and_Contrast_++,5,1771,847
Saturation_and_Contrast_+++,1,1778,880
Saturation_and_Contrast_+++,2,1622,1373
Saturation_and_Contrast_+++,3,1607,1421
Saturation_and_Contrast_+++,4,1653,1210
Saturation_and_Contrast_+++,5,1831,1259
