version,cluster,cx,cy
Saturation_and_Contrast_+,1,1614,1239
Saturation_and_Contrast_+,2,1467,1091
Saturation_and_Contrast_+,3,1600,1509
Saturation_and_Contrast_+,4,1628,717
Saturation_and_Contrast_+,5,2020,1148
Saturation_and_Contrast_++,1,1552,1229
Saturation_and_Contrast_++,2,1592,1493
Saturation_and_Contrast_++,3,1630,732
Saturation_and_Contrast_++,4,1703,1183
Saturation_and_Contrast_++,5,2005,1145
Saturation_and_Contrast_+++,1,1747,1322
Saturation_and_Contrast_+++,2,1465,1221
Saturation_and_Contrast_+++,3,1924,818
Saturation_and_Contrast_+++,4,1544,878
Saturation_and_Contrast_+++,5,1211,1240
