version,cluster,cx,cy
Saturation_and_Contrast_+,1,1799,1512
Saturation_and_Contrast_+,2,1644,1043
Saturation_and_Contrast_+,3,1597,1341
Saturation_and_Contrast_+,4,1927,1289
Saturation_and_Contrast_+,5,1732,581
Saturation_and_Contrast_++,1,1838,1452
Saturation_and_Contrast_++,2,1837,1143
Saturation_and_Contrast_++,3,1781,1532
Saturation_and_Contrast_++,4,1543,1332
Saturation_and_Contrast_++,5,1856,575
Saturation_and_Contrast_+++,1,1878,1290
Saturation_and_Contrast_+++,2,1468,1169
Saturation_and_Contrast_+++,3,1440,1298
Saturation_and_Contrast_+++,4,1970,897
Saturation_and_Contrast_+++,5,1631,971
