version,cluster,cx,cy
Saturation_and_Contrast_+,1,1887,1018
Saturation_and_Contrast_+,2,1854,1477
Saturation_and_Contrast_+,3,1572,995
Saturation_and_Contrast_+,4,1539,803
Saturation_and_Contrast_+,5,1696,1368
Saturation_and_Contrast_++,1,1579,945
Saturation_and_Contrast_++,2,1847,1499
Saturation_and_Contrast_++,3,1754,776
Saturation_and_Contrast_++,4,2035,1287
Saturation_and_Contrast_++,5,1428,1158
Saturation_and_Contrast_+++,1,1869,1452
Saturation_and_Contrast_+++,2,1602,1114
Saturation_and_Contrast_+++,3,1371,695
Saturation_and_Contrast_+++,4,1733,907
Saturation_and_Contrast_+++,5,2171,1143
