version,cluster,cx,cy
Saturation_and_Contrast_+,1,1853,1156
Saturation_and_Contrast_+,2,1723,878
Saturation_and_Contrast_+,3,1859,587
Saturation_and_Contrast_+,4,1557,1531
Saturation_and_Contrast_+,5,1810,1232
Saturation_and_Contrast_++,1,1799,770
Saturation_and_Contrast_++,2,1844,1330
Saturation_and_Contrast_++,3,1593,1515
Saturation_and_Contrast_++,4,1824,1028
Saturation_and_Contrast_++,5,1692,661
Saturation_and_Contrast_+++,1,1845,945
Saturation_and_Contrast_+++,2,1874,853
Saturation_and_Contrast_+++,3,1524,1547
Saturation_and_Contrast_+++,4,1820,1393
Saturation_and_Contrast_+++,5,1797,1196
