version,cluster,cx,cy
Saturation_and_Contrast_+,1,1755,1277
Saturation_and_Contrast_+,2,1892,1106
Saturation_and_Contrast_+,3,1847,636
Saturation_and_Contrast_+,4,1942,594
Saturation_and_Contrast_+,5,1675,1435
Saturation_and_Contrast_++,1,1776,1287
Saturation_and_Contrast_++,2,1821,798
Saturation_and_Contrast_++,3,1663,1447
Saturation_and_Contrast_++,4,1905,1030
Saturation_and_Contrast_++,5,1834,657
Saturation_and_Contrast_+++,1,1778,1297
Saturation_and_Contrast_+++,2,1844,588
Saturation_and_Contrast_+++,3,1652,1468
Saturation_and_Contrast_+++,4,1917,998
Saturation_and_Contrast_+++,5,1806,775
