index,Ag,Au,Pd,Composition,Similarity_to_Resistance
0,59.63,22.14,18.23,Ag59.63Au22.14Pd18.23,0.2625909
1,55.59,24.33,20.09,Ag55.59Au24.33Pd20.09,0.2626751
2,51.62,26.82,21.56,Ag51.62Au26.82Pd21.56,0.26246622
3,47.47,29.25,23.28,Ag47.47Au29.25Pd23.28,0.2622822
4,43.85,31.22,24.93,Ag43.85Au31.22Pd24.93,0.26214996
5,40.36,33.79,25.84,Ag40.36Au33.79Pd25.84,0.26152876
6,36.25,36.54,27.2,Ag36.25Au36.54Pd27.20,0.26089743
7,32.07,38.89,29.04,Ag32.07Au38.89Pd29.04,0.2604583
8,29.09,40.11,30.8,Ag29.09Au40.11Pd30.80,0.26038283
9,26.44,41.72,31.84,Ag26.44Au41.72Pd31.84,0.2599363
10,24.23,43.02,32.76,Ag24.23Au43.02Pd32.76,0.2595662
11,63.98,18.63,17.39,Ag63.98Au18.63Pd17.39,0.26314276
12,60.31,21.15,18.55,Ag60.31Au21.15Pd18.55,0.26296288
13,56.56,23.0,20.45,Ag56.56Au23.00Pd20.45,0.2631668
14,52.08,25.61,22.31,Ag52.08Au25.61Pd22.31,0.2630751
15,47.82,28.32,23.86,Ag47.82Au28.32Pd23.86,0.26276082
16,44.17,30.25,25.59,Ag44.17Au30.25Pd25.59,0.26267338
17,40.27,32.58,27.16,Ag40.27Au32.58Pd27.16,0.26233482
18,36.17,34.51,29.33,Ag36.17Au34.51Pd29.33,0.26222718
19,32.45,37.03,30.52,Ag32.45Au37.03Pd30.52,0.26156247
20,29.7,38.97,31.33,Ag29.70Au38.97Pd31.33,0.26097628
21,26.34,40.88,32.78,Ag26.34Au40.88Pd32.78,0.2605007
22,24.08,41.72,34.2,Ag24.08Au41.72Pd34.20,0.2604328
23,21.33,43.32,35.36,Ag21.33Au43.32Pd35.36,0.2599451
24,67.77,15.83,16.41,Ag67.77Au15.83Pd16.41,0.2633948
25,64.31,18.27,17.42,Ag64.31Au18.27Pd17.42,0.26323885
26,60.01,20.17,19.82,Ag60.01Au20.17Pd19.82,0.2636788
27,56.47,22.66,20.87,Ag56.47Au22.66Pd20.87,0.26340744
28,53.61,24.31,22.08,Ag53.61Au24.31Pd22.08,0.26337144
29,49.56,26.62,23.82,Ag49.56Au26.62Pd23.82,0.26327282
30,44.55,29.19,26.25,Ag44.55Au29.19Pd26.25,0.2632214
31,41.1,31.16,27.74,Ag41.10Au31.16Pd27.74,0.2629949
32,37.07,33.22,29.71,Ag37.07Au33.22Pd29.71,0.26280347
33,33.35,35.67,30.98,Ag33.35Au35.67Pd30.98,0.2622067
34,30.07,37.13,32.8,Ag30.07Au37.13Pd32.80,0.26206413
35,27.43,37.96,34.61,Ag27.43Au37.96Pd34.61,0.2621258
36,24.17,39.49,36.34,Ag24.17Au39.49Pd36.34,0.26183146
37,21.78,41.4,36.82,Ag21.78Au41.40Pd36.82,0.26108214
38,19.2,42.16,38.65,Ag19.20Au42.16Pd38.65,0.26106262
39,71.95,13.75,14.29,Ag71.95Au13.75Pd14.29,0.26297355
40,68.31,15.49,16.2,Ag68.31Au15.49Pd16.20,0.26338518
41,64.54,17.33,18.13,Ag64.54Au17.33Pd18.13,0.2637297
42,61.72,19.07,19.22,Ag61.72Au19.07Pd19.22,0.26372916
43,57.58,21.12,21.3,Ag57.58Au21.12Pd21.30,0.26396927
44,53.28,23.63,23.1,Ag53.28Au23.63Pd23.10,0.26391035
45,48.51,25.79,25.7,Ag48.51Au25.79Pd25.70,0.2641265
46,44.3,28.36,27.34,Ag44.30Au28.36Pd27.34,0.26381883
47,40.89,30.16,28.95,Ag40.89Au30.16Pd28.95,0.2636814
48,37.48,31.89,30.64,Ag37.48Au31.89Pd30.64,0.2635327
49,33.21,34.33,32.46,Ag33.21Au34.33Pd32.46,0.26308525
50,30.22,35.88,33.9,Ag30.22Au35.88Pd33.90,0.2628168
51,26.68,37.13,36.19,Ag26.68Au37.13Pd36.19,0.26280323
52,24.33,38.02,37.65,Ag24.33Au38.02Pd37.65,0.26271868
53,21.25,39.78,38.97,Ag21.25Au39.78Pd38.97,0.26219368
54,20.29,39.91,39.8,Ag20.29Au39.91Pd39.80,0.2622791
55,16.87,41.47,41.66,Ag16.87Au41.47Pd41.66,0.2618613
56,75.37,11.19,13.44,Ag75.37Au11.19Pd13.44,0.26311168
57,72.25,13.28,14.47,Ag72.25Au13.28Pd14.47,0.263141
58,68.6,14.8,16.6,Ag68.60Au14.80Pd16.60,0.2636916
59,65.85,16.09,18.06,Ag65.85Au16.09Pd18.06,0.263984
60,62.08,18.25,19.67,Ag62.08Au18.25Pd19.67,0.26409554
61,57.58,20.16,22.26,Ag57.58Au20.16Pd22.26,0.26455963
62,53.42,22.49,24.09,Ag53.42Au22.49Pd24.09,0.26456392
63,49.08,24.79,26.13,Ag49.08Au24.79Pd26.13,0.2645644
64,44.84,26.91,28.26,Ag44.84Au26.91Pd28.26,0.2645604
65,41.61,28.12,30.27,Ag41.61Au28.12Pd30.27,0.26474288
66,36.81,31.2,31.99,Ag36.81Au31.20Pd31.99,0.26413292
67,33.53,32.51,33.96,Ag33.53Au32.51Pd33.96,0.26413864
68,30.65,33.74,35.61,Ag30.65Au33.74Pd35.61,0.2640478
69,27.5,35.37,37.13,Ag27.50Au35.37Pd37.13,0.26372293
70,24.43,36.81,38.75,Ag24.43Au36.81Pd38.75,0.26344365
71,21.71,38.13,40.16,Ag21.71Au38.13Pd40.16,0.26313144
72,19.05,39.22,41.73,Ag19.05Au39.22Pd41.73,0.26290694
73,18.24,39.63,42.12,Ag18.24Au39.63Pd42.12,0.2627803
74,15.62,40.6,43.77,Ag15.62Au40.60Pd43.77,0.2625715
75,75.69,10.85,13.47,Ag75.69Au10.85Pd13.47,0.26318634
76,72.62,12.28,15.1,Ag72.62Au12.28Pd15.10,0.2635966
77,69.74,13.72,16.54,Ag69.74Au13.72Pd16.54,0.2638933
78,65.44,15.64,18.92,Ag65.44Au15.64Pd18.92,0.26441598
79,61.69,17.3,21.01,Ag61.69Au17.30Pd21.01,0.2648196
80,57.68,19.69,22.63,Ag57.68Au19.69Pd22.63,0.26481158
81,54.48,21.0,24.53,Ag54.48Au21.00Pd24.53,0.2651215
82,50.2,23.42,26.38,Ag50.20Au23.42Pd26.38,0.265049
83,45.78,25.73,28.5,Ag45.78Au25.73Pd28.50,0.26500556
84,42.01,27.32,30.68,Ag42.01Au27.32Pd30.68,0.26512402
85,38.42,29.13,32.45,Ag38.42Au29.13Pd32.45,0.26498747
86,33.96,31.05,34.99,Ag33.96Au31.05Pd34.99,0.2649305
87,31.14,32.64,36.22,Ag31.14Au32.64Pd36.22,0.26461187
88,27.35,33.94,38.71,Ag27.35Au33.94Pd38.71,0.2646262
89,24.72,34.71,40.57,Ag24.72Au34.71Pd40.57,0.26466867
90,22.1,36.59,41.3,Ag22.10Au36.59Pd41.30,0.2639991
91,19.85,37.21,42.94,Ag19.85Au37.21Pd42.94,0.26399878
92,18.46,38.23,43.3,Ag18.46Au38.23Pd43.30,0.26359653
93,16.01,39.22,44.77,Ag16.01Au39.22Pd44.77,0.26335487
94,78.45,9.02,12.53,Ag78.45Au9.02Pd12.53,0.26310945
95,75.69,10.55,13.76,Ag75.69Au10.55Pd13.76,0.26336378
96,72.32,11.73,15.96,Ag72.32Au11.73Pd15.96,0.26405537
97,69.68,13.32,17.0,Ag69.68Au13.32Pd17.00,0.26415956
98,66.57,15.05,18.38,Ag66.57Au15.05Pd18.38,0.26433757
99,62.2,16.74,21.05,Ag62.20Au16.74Pd21.05,0.26496738
100,58.47,18.55,22.97,Ag58.47Au18.55Pd22.97,0.26522213
101,54.48,20.67,24.85,Ag54.48Au20.67Pd24.85,0.26531905
102,50.21,22.52,27.27,Ag50.21Au22.52Pd27.27,0.2655937
103,45.87,24.91,29.22,Ag45.87Au24.91Pd29.22,0.26547608
104,42.33,26.08,31.59,Ag42.33Au26.08Pd31.59,0.26578546
105,38.43,28.08,33.49,Ag38.43Au28.08Pd33.49,0.2656232
106,34.3,29.78,35.92,Ag34.30Au29.78Pd35.92,0.26561922
107,31.22,31.5,37.28,Ag31.22Au31.50Pd37.28,0.26528555
108,27.3,32.4,40.3,Ag27.30Au32.40Pd40.30,0.26556176
109,24.79,33.74,41.47,Ag24.79Au33.74Pd41.47,0.26523703
110,22.13,34.89,42.98,Ag22.13Au34.89Pd42.98,0.26501632
111,19.84,35.58,44.58,Ag19.84Au35.58Pd44.58,0.26497236
112,18.4,36.27,45.33,Ag18.40Au36.27Pd45.33,0.26477778
113,15.91,37.18,46.91,Ag15.91Au37.18Pd46.91,0.26458067
114,14.02,37.45,48.53,Ag14.02Au37.45Pd48.53,0.2646529
115,78.58,8.59,12.83,Ag78.58Au8.59Pd12.83,0.26331168
116,75.57,10.25,14.18,Ag75.57Au10.25Pd14.18,0.26359504
117,72.87,11.04,16.1,Ag72.87Au11.04Pd16.10,0.2642449
118,69.64,12.52,17.84,Ag69.64Au12.52Pd17.84,0.2646574
119,65.92,14.25,19.83,Ag65.92Au14.25Pd19.83,0.26507115
120,62.75,15.46,21.79,Ag62.75Au15.46Pd21.79,0.26553828
121,58.78,17.52,23.69,Ag58.78Au17.52Pd23.69,0.2657339
122,54.69,19.21,26.1,Ag54.69Au19.21Pd26.10,0.2661295
123,49.62,21.49,28.89,Ag49.62Au21.49Pd28.89,0.2663995
124,46.59,23.28,30.13,Ag46.59Au23.28Pd30.13,0.26624703
125,41.91,25.1,32.99,Ag41.91Au25.10Pd32.99,0.26649025
126,38.16,26.61,35.23,Ag38.16Au26.61Pd35.23,0.2665745
127,34.74,28.18,37.07,Ag34.74Au28.18Pd37.07,0.26647067
128,31.01,29.88,39.11,Ag31.01Au29.88Pd39.11,0.26630008
129,27.82,31.0,41.17,Ag27.82Au31.00Pd41.17,0.2662878
130,25.01,32.2,42.79,Ag25.01Au32.20Pd42.79,0.26610905
131,22.06,33.58,44.36,Ag22.06Au33.58Pd44.36,0.26580137
132,19.8,34.05,46.16,Ag19.80Au34.05Pd46.16,0.26587796
133,18.21,34.64,47.15,Ag18.21Au34.64Pd47.15,0.26575863
134,15.71,35.79,48.5,Ag15.71Au35.79Pd48.50,0.26541647
135,15.12,35.63,49.26,Ag15.12Au35.63Pd49.26,0.26558167
136,78.86,8.3,12.85,Ag78.86Au8.30Pd12.85,0.26336882
137,76.02,9.5,14.48,Ag76.02Au9.50Pd14.48,0.26385581
138,73.05,10.42,16.53,Ag73.05Au10.42Pd16.53,0.26453853
139,69.42,12.22,18.36,Ag69.42Au12.22Pd18.36,0.26492447
140,66.35,13.66,19.98,Ag66.35Au13.66Pd19.98,0.26525667
141,63.0,14.91,22.09,Ag63.00Au14.91Pd22.09,0.265775
142,58.64,16.61,24.74,Ag58.64Au16.61Pd24.74,0.2663275
143,54.97,18.55,26.48,Ag54.97Au18.55Pd26.48,0.2664306
144,50.62,20.35,29.03,Ag50.62Au20.35Pd29.03,0.26676783
145,46.98,21.99,31.03,Ag46.98Au21.99Pd31.03,0.26690203
146,42.17,23.77,34.06,Ag42.17Au23.77Pd34.06,0.26720986
147,38.27,25.51,36.22,Ag38.27Au25.51Pd36.22,0.26719838
148,34.49,26.94,38.57,Ag34.49Au26.94Pd38.57,0.2672629
149,31.04,28.36,40.59,Ag31.04Au28.36Pd40.59,0.2671857
150,27.87,29.42,42.71,Ag27.87Au29.42Pd42.71,0.26720446
151,24.69,30.79,44.52,Ag24.69Au30.79Pd44.52,0.2669869
152,22.34,31.83,45.83,Ag22.34Au31.83Pd45.83,0.26677415
153,20.3,32.39,47.31,Ag20.30Au32.39Pd47.31,0.26676127
154,17.29,33.18,49.52,Ag17.29Au33.18Pd49.52,0.2667149
155,16.21,33.97,49.82,Ag16.21Au33.97Pd49.82,0.26640022
156,14.45,34.39,51.16,Ag14.45Au34.39Pd51.16,0.26636225
157,79.29,7.86,12.85,Ag79.29Au7.86Pd12.85,0.26344258
158,76.41,9.0,14.59,Ag76.41Au9.00Pd14.59,0.26399052
159,73.41,10.3,16.29,Ag73.41Au10.30Pd16.29,0.2644626
160,70.28,11.55,18.17,Ag70.28Au11.55Pd18.17,0.26498303
161,66.5,12.63,20.87,Ag66.50Au12.63Pd20.87,0.2658164
162,63.18,14.34,22.47,Ag63.18Au14.34Pd22.47,0.26604497
163,58.86,15.99,25.15,Ag58.86Au15.99Pd25.15,0.2666219
164,54.39,17.77,27.84,Ag54.39Au17.77Pd27.84,0.267086
165,51.02,19.36,29.63,Ag51.02Au19.36Pd29.63,0.267232
166,46.64,20.85,32.52,Ag46.64Au20.85Pd32.52,0.26767737
167,42.64,22.85,34.52,Ag42.64Au22.85Pd34.52,0.2676267
168,38.61,23.95,37.44,Ag38.61Au23.95Pd37.44,0.26802647
169,34.05,26.05,39.9,Ag34.05Au26.05Pd39.90,0.2678809
170,31.58,27.06,41.36,Ag31.58Au27.06Pd41.36,0.26782995
171,27.64,28.59,43.78,Ag27.64Au28.59Pd43.78,0.26772875
172,24.93,29.63,45.44,Ag24.93Au29.63Pd45.44,0.2676126
173,21.99,30.3,47.71,Ag21.99Au30.30Pd47.71,0.26770198
174,19.56,31.28,49.16,Ag19.56Au31.28Pd49.16,0.2674959
175,17.95,31.53,50.52,Ag17.95Au31.53Pd50.52,0.26756465
176,16.41,32.54,51.05,Ag16.41Au32.54Pd51.05,0.26718423
177,14.34,33.29,52.37,Ag14.34Au33.29Pd52.37,0.26699173
178,79.63,7.44,12.92,Ag79.63Au7.44Pd12.92,0.26354235
179,76.15,8.55,15.3,Ag76.15Au8.55Pd15.30,0.26436782
180,72.98,9.74,17.28,Ag72.98Au9.74Pd17.28,0.2649718
181,70.2,10.76,19.04,Ag70.20Au10.76Pd19.04,0.2654844
182,66.78,12.08,21.14,Ag66.78Au12.08Pd21.14,0.26603508
183,62.47,13.64,23.89,Ag62.47Au13.64Pd23.89,0.26672235
184,59.0,14.91,26.09,Ag59.00Au14.91Pd26.09,0.26720995
