index,Composition,Similarity_to_Resistance,SourceFile,Folder
341,Ag30.90Au15.08Pd54.01,0.27441353,0010272_Ag-Au-Pd_EDX.csv,0010272
340,Ag33.99Au14.28Pd51.73,0.2742815,0010272_Ag-Au-Pd_EDX.csv,0010272
333,Ag27.83Au16.76Pd55.41,0.27405065,0010272_Ag-Au-Pd_EDX.csv,0010272
332,Ag30.66Au16.16Pd53.19,0.27391234,0010272_Ag-Au-Pd_EDX.csv,0010272
334,Ag24.51Au17.98Pd57.51,0.27389544,0010272_Ag-Au-Pd_EDX.csv,0010272
339,Ag37.68Au13.85Pd48.47,0.27377877,0010272_Ag-Au-Pd_EDX.csv,0010272
338,Ag40.62Au12.74Pd46.64,0.27371573,0010272_Ag-Au-Pd_EDX.csv,0010272
331,Ag34.50Au15.32Pd50.19,0.27365738,0010272_Ag-Au-Pd_EDX.csv,0010272
324,Ag35.41Au12.32Pd17.53Pt22.75Rh11.99,0.33963394,0010275_Ag-Au-Pd-Pt-Rh_EDX.csv,0010275
311,Ag37.51Au11.79Pd15.48Pt21.99Rh13.23,0.33947343,0010275_Ag-Au-Pd-Pt-Rh_EDX.csv,0010275
24,Ag31.30Au16.53Pd7.16Pt6.54Rh38.47,0.33935034,0010275_Ag-Au-Pd-Pt-Rh_EDX.csv,0010275
312,Ag35.50Au12.26Pd17.50Pt21.95Rh12.79,0.3391573,0010275_Ag-Au-Pd-Pt-Rh_EDX.csv,0010275
335,Ag31.06Au13.56Pd22.04Pt23.85Rh9.49,0.33883947,0010275_Ag-Au-Pd-Pt-Rh_EDX.csv,0010275
336,Ag27.70Au14.81Pd24.12Pt23.31Rh10.06,0.33871004,0010275_Ag-Au-Pd-Pt-Rh_EDX.csv,0010275
39,Ag34.96Au14.80Pd6.23Pt7.35Rh36.64,0.33870572,0010275_Ag-Au-Pd-Pt-Rh_EDX.csv,0010275
57,Ag35.22Au14.02Pd7.85Pt7.99Rh34.93,0.33840156,0010275_Ag-Au-Pd-Pt-Rh_EDX.csv,0010275
260,Au14.24Pd18.25Pt32.88Rh34.64,0.39752913,EDX_0010304_Au-Pd-Pt-Rh_asdepo_onTa.csv,0010304
220,Au14.58Pd16.47Pt28.14Rh40.81,0.3965277,EDX_0010304_Au-Pd-Pt-Rh_asdepo_onTa.csv,0010304
241,Au15.08Pd17.59Pt30.75Rh36.58,0.39560255,EDX_0010304_Au-Pd-Pt-Rh_asdepo_onTa.csv,0010304
199,Au14.99Pd15.27Pt25.57Rh44.17,0.3955533,EDX_0010304_Au-Pd-Pt-Rh_asdepo_onTa.csv,0010304
221,Au15.75Pd16.18Pt28.62Rh39.45,0.39489722,EDX_0010304_Au-Pd-Pt-Rh_asdepo_onTa.csv,0010304
279,Au14.59Pd20.58Pt35.25Rh29.59,0.39471504,EDX_0010304_Au-Pd-Pt-Rh_asdepo_onTa.csv,0010304
178,Au15.25Pd14.88Pt22.89Rh46.97,0.39354223,EDX_0010304_Au-Pd-Pt-Rh_asdepo_onTa.csv,0010304
261,Au14.88Pd20.55Pt32.89Rh31.69,0.3930679,EDX_0010304_Au-Pd-Pt-Rh_asdepo_onTa.csv,0010304
94,Au12.31Pd9.43Pt14.73Rh45.01Ru18.51,0.43801123,EDX_0010311_Au-Pd-Pt-Rh-Ru_asdepo_onTa.csv,0010311
39,Au14.01Pd8.64Pt10.01Rh45.21Ru22.13,0.43795797,EDX_0010311_Au-Pd-Pt-Rh-Ru_asdepo_onTa.csv,0010311
24,Au15.44Pd8.19Pt8.70Rh43.83Ru23.83,0.43756908,EDX_0010311_Au-Pd-Pt-Rh-Ru_asdepo_onTa.csv,0010311
11,Au16.73Pd7.53Pt7.90Rh42.66Ru25.19,0.43749696,EDX_0010311_Au-Pd-Pt-Rh-Ru_asdepo_onTa.csv,0010311
95,Au13.24Pd9.80Pt14.80Rh43.43Ru18.73,0.4363922,EDX_0010311_Au-Pd-Pt-Rh-Ru_asdepo_onTa.csv,0010311
136,Au12.03Pd10.85Pt18.24Rh42.21Ru16.67,0.4363814,EDX_0010311_Au-Pd-Pt-Rh-Ru_asdepo_onTa.csv,0010311
0,Au17.84Pd8.21Pt6.45Rh40.62Ru26.88,0.43606868,EDX_0010311_Au-Pd-Pt-Rh-Ru_asdepo_onTa.csv,0010311
115,Au12.42Pd10.10Pt16.13Rh44.21Ru17.15,0.43578652,EDX_0010311_Au-Pd-Pt-Rh-Ru_asdepo_onTa.csv,0010311
